board	similarity
NTU-Taipei	1.0
FineArt	0.797112503525
Art-Service	0.797112503525
AIESEC	0.797112503525
CLOCA	0.752878231989
wonderland	0.603830817965
iELC	0.603830817965
howtztravel	0.603830817965
e-Business	0.603830817965
Sassy-babe	0.603830817965
Progressive	0.603830817965
NTUrefined	0.603830817965
NTUTradOpera	0.603830817965
NTUSNews	0.603830817965
NTUPR	0.603830817965
NTUNTE	0.603830817965
NTUMUN	0.603830817965
NTUDesign	0.603830817965
NTUDT	0.603830817965
NTUChallenge	0.603830817965
NTU-IAS	0.603830817965
MED_serve	0.603830817965
HELLOWORLD	0.603830817965
GOFORFIENDS	0.603830817965
Film-Club	0.603830817965
CYPA	0.603830817965
CSCommunity	0.603830817965
CLUB_KABA	0.603830817965
CCYS	0.603830817965
AquaPet	0.603830817965
AD	0.603830817965
asciiart	0.403380806389
Alternative	0.317038659601
A-UPUP	0.317038659601
Architecture	0.305104766751
TravelGuy	0.194683341094
uni-talk	0.186121917529
ZACTION	0.161582093096
Polytechnic	0.141007752471
Design	0.128539032046
toberich	0.0605962686274
Taoyuan	0.0237687905047
