board	similarity
Zastrology	0.0608718229523
study	0.0601117637538
Pisces	0.0521466529546
tattoo_ring	0.0455248311384
Aries	0.0410334379016
Virgo	0.039763349871
PttLifeLaw	0.0188547734569
Libra	0.0187259589107
Sagittarius	0.017497184601
Capricornus	0.0153356369456
Leo	0.0152874646367
Scorpio	0.0144595419952
Cancer	0.0140345028664
Diary	0.0125416687099
Boy-Girl	0.00896682483242
movie	0.00711312343753
Japan_Travel	0.00668705028954
Wanted	0.00617330305077
BuyTogether	0.00551962890666
LoL	0.00540480334845
Gossiping	0.00232158921841
