board	similarity
L_BeautyCare	0.0736440517405
MakeUp	0.0460961406734
Mancare	0.033408977184
hairdo	0.0278717161233
Disney	0.0267169517631
Aromatherapy	0.0245317007521
e-shopping	0.0238661704271
WomenTalk	0.0233845476992
ChineseMed	0.0231561546293
Lifeismoney	0.0229999988599
cookclub	0.0210723849131
BeautyMarket	0.0200800689067
Jinmen	0.0181209127106
facelift	0.0164057922038
Tai-travel	0.0155660536931
juniorhigh	0.0154294585699
haiku	0.0144416535137
Doctor-Info	0.0103746242922
Thailand	0.0094166453009
Hotel	0.00921887209587
Nurse	0.00905630360012
FITNESS	0.00900220625038
BigShiLin	0.00884880256422
HelpBuy	0.00847421462515
LinKou	0.00820111594652
Monkeys	0.00816606153374
iPhone	0.00796335602703
teeth_salon	0.00773903236073
Keelung	0.00771361703358
BigSanchung	0.00710138146937
Korea_Travel	0.00708947432805
I-Lan	0.00647221443158
Perfume_Shop	0.00623237531066
BabyMother	0.00609086551923
Chiayi	0.00596361572598
joke	0.00575406685296
BigBanciao	0.00569139463139
give	0.00557202588689
travel	0.00554983171796
Japan_Travel	0.0053015281774
HsinChuang	0.00473283373133
Food	0.0047258793284
cat	0.00452227342217
Elephants	0.00447482892695
forsale	0.00439516064112
e-coupon	0.00398785994383
ask	0.00389374102361
Chat82gether	0.00361573126754
car	0.00346024318948
BuyTogether	0.00319176314256
Hsinchu	0.0031866656036
Boy-Girl	0.003153438966
MobileComm	0.00307680637361
Tainan	0.00243536781668
Baseball	0.00241201087267
Drama-Ticket	0.00209144373787
Wanted	0.00123882673953
Gossiping	0.000816452873921
