board	similarity
forsale	0.0412239644729
Zhongzheng	0.0369165578992
San-X	0.0279787530357
SongShan	0.023490686407
RENE	0.0177635482895
Electronics	0.0174728590529
XBOX	0.0159947559341
Aussiekiwi	0.0139376623145
biker	0.0131932839042
BeautyBody	0.0130901053532
HsinChuang	0.0125755668569
Wen-Shan	0.0123852986875
give	0.0119839788391
cat	0.011872533178
HsinYi	0.0109964527206
Zhongshan	0.0109863031132
NCU_Talk	0.0103794272765
Doctor-Info	0.0100362584316
nb-shopping	0.00997253958039
Interior	0.00972079314226
Daan	0.00951239538568
Aquarium	0.00933912886869
BigShiLin	0.00834735604999
Gossiping	0.0082516611644
Hualien	0.00819314094144
Baseball	0.00818747599004
Taipei	0.00811942161689
dog	0.00801849555093
Sijhih	0.00788568341641
Keelung	0.0072376170499
BeautySalon	0.00710138146937
Chat82gether	0.00678521584773
Beauty	0.00658859301725
Rent_apart	0.00656004358596
ChungLi	0.00603483126125
toberich	0.00575904439608
aqua-shop	0.0055325780389
sex	0.00550205381647
BabyMother	0.00546716547035
Taoyuan	0.00520837739616
BabyProducts	0.00509794071628
ask	0.00465620959328
WomenTalk	0.00450916337739
Wanted	0.00437119681561
Stock	0.00426596821888
Clothes	0.00421379099674
GetMarry	0.00401021412261
NBA	0.00374668777452
HatePolitics	0.00356068593424
Food	0.00345386180495
BuyTogether	0.00299480246935
HardwareSale	0.00284580858298
part-time	0.00267683512787
HelpBuy	0.00248106923703
Gamesale	0.0022196515463
AllTogether	0.00219760198002
mobilesales	0.00212901435115
