board	similarity
ck51st305	0.0512298147164
cksh77th01	0.0482159582433
WomenTalk	0.0391642513332
TW-language	0.0335190766855
JD_Lover	0.0330453928833
Gossiping	0.0250882742431
sex	0.0238919244897
marriage	0.0199882840808
CATCH	0.0199060085361
Zombie	0.0194453750094
Isayama	0.0190860393287
fatworld	0.0184251007143
MenTalk	0.0165241266336
funeral	0.0150930474414
Stock	0.0137234748413
adulation	0.0137139492132
love	0.0133143149264
Francais	0.0125561513019
fashion	0.01237570298
Eng-Class	0.0120702133328
ChineseMed	0.0117206730261
Suit_Style	0.0116344337479
JapanStudy	0.0112784849523
LeicesterCFC	0.0111156483644
SportLottery	0.0108839453125
feminine_sex	0.0106514513085
wisdom	0.01014052809
DistantLove	0.010028030967
joke	0.00991576322719
DummyHistory	0.00987149414761
Pisces	0.00974331228235
juniorhigh	0.00965390002436
MiamiHeat	0.00959202395114
ForeignEX	0.0091728535028
KTV	0.00911398666865
Aquarius	0.00896682483242
Salary	0.00881961319165
Libra	0.00857032514313
Steam	0.00851584921851
Gov_owned	0.00829795414309
Sagittarius	0.00800795098582
Test	0.00796356386426
GossipPicket	0.00783709945075
Tech_Job	0.00772670165452
Transfer	0.00763071176513
Taurus	0.00762241094936
Scorpio	0.00747087955963
Language	0.00715322058038
Sad	0.00708453491557
Wanted	0.00684238717175
SENIORHIGH	0.00678287716649
HatePolitics	0.00677379611144
Road_Running	0.00660894715965
Capricornus	0.00640992600154
heart	0.00607717819465
baking	0.00604181304446
Virgo	0.00601031380618
studyteacher	0.00595567481378
NBA	0.00590630772508
PublicServan	0.00579777039438
talk	0.00574550127515
Baseball	0.00556362493981
TuCheng	0.00556113405232
gay	0.00554259956383
book	0.00551268778828
Doctor-Info	0.00550908437318
Korea_Travel	0.00548317548404
V_ScHooL	0.00545375225556
Hate	0.00526586799942
GTA	0.00507528586992
Lions	0.00505025596845
Shu-Lin	0.00504140934019
Hunter	0.00502546985877
CVS	0.00492423863492
Key_Mou_Pad	0.00484592120367
home-sale	0.0047237267206
Monkeys	0.00446281217535
DIABLO	0.00435275502184
NTU	0.00414339548082
CFantasy	0.00407531223852
SportsShop	0.0040726700827
movie	0.00392611511855
japanavgirls	0.0039173040931
AllTogether	0.00389422382871
cookclub	0.00384096530534
Militarylife	0.00375488749148
Teacher	0.00374649236393
StupidClown	0.00361052479937
MobileComm	0.00355892679295
creditcard	0.00329428144323
marvel	0.0032921912333
Hearthstone	0.00325491206549
Diary	0.00325160844978
ShuangHe	0.00318949271375
TaichungBun	0.00315533497744
BeautySalon	0.003153438966
DiabloEX	0.00314653849197
give	0.00311768573663
LoL	0.00298320144807
ask	0.00275031944129
car	0.00267623800403
PlayStation	0.0026656306731
e-coupon	0.00234519461226
BabyMother	0.00190546565577
Drama-Ticket	0.00149814705742
forsale	0.000843441650835
