board	similarity
Wizards	0.146217770591
Orl-Magic	0.146217770591
Nets	0.146217770591
Lionel_Messi	0.146217770591
LaClippers	0.146217770591
CONCACAF	0.146217770591
Argentina	0.146217770591
TW_Entertain	0.101728553532
RiverChen	0.0964826276448
MeganLai	0.0807536428829
Raptors	0.0675030382164
LFP	0.0675030382164
ChicagoBulls	0.0675030382164
NBAEasyChat	0.060554850009
Hornets	0.0577980688006
SuperJunior	0.0564818126763
Bundesliga	0.0525569251577
Hawks	0.0504983217696
FCBarcelona	0.0504983217696
FCBayern	0.0486328001235
electronic	0.048420582775
Hip-Hop	0.0471105418448
ManCity	0.0445173328945
Google	0.0420960640426
BVB_09	0.0420766473596
ManUtd	0.0405082927053
China-Drama	0.0401188851052
RealMadrid	0.0359571026501
Soccer	0.0353770502072
Atletico	0.0347111255387
Celtics	0.0321988018866
BLAZERS	0.0315225522284
Daan	0.0306707959884
FAPL	0.0300809312413
PACERS	0.0289237816612
Thunder	0.0288824014062
G-S-WARRIORS	0.0287171384406
soho	0.0261641340268
GO	0.0245947901226
Cavaliers	0.024492501088
Lifeismoney	0.0198200777123
Android	0.0169613971352
MiamiHeat	0.0156811353604
tabletennis	0.0137132932392
SuperHeroes	0.0128099716272
MLB	0.0120496783922
Rhinos	0.0113240922521
cat	0.00943952918224
Palmar_Drama	0.00786811193857
NTU	0.0067736637979
Elephants	0.0056579850699
Wanted	0.00319646599229
