board	similarity
scholarship	0.382782896487
TIT	0.382782896487
NUU_Talk	0.382782896487
NUU_ID	0.382782896487
NUU-ARCHI	0.382782896487
NTUST-ARCH	0.382782896487
NTCUST	0.382782896487
NTCU	0.382782896487
NFU	0.382782896487
Lan_Yang	0.382782896487
HungKuang	0.382782896487
NCUT	0.219637050041
LTU	0.180598436139
NHCUE-Talk	0.16321793657
OCU	0.160003263814
ASIA-uni	0.153534181096
KSU	0.13546317712
CHU	0.13546317712
NCNU	0.123540054209
YZU_Talk	0.122121045171
NDHU	0.11950918718
NTUST_Talk	0.104769021783
CYUT	0.0991365612929
STUST	0.0989346065545
NYUST	0.0905939294171
FCU_Talk	0.0748208425936
PU_Family	0.06180463672
learnyf	0.0603113104182
THU_Talk	0.0584189964614
Refresh	0.0497320750909
Rent_ya	0.0455417482972
Rent_apart	0.0397707916758
NCHUS	0.0358238114704
V_ScHooL	0.0239983835188
TaichungBun	0.0197765054488
Test	0.0116808056078
