board	similarity
T-I-R	0.413572312144
STS	0.413572312144
Monotheism	0.413572312144
Learn_Buddha	0.413572312144
HumService	0.413572312144
Hakka-Dream	0.413572312144
China	0.413572312144
Atheism	0.413572312144
Ancient	0.413572312144
Aboriginal	0.274323805751
Feminism	0.241170720934
IGuanTao	0.23395071311
Marxism	0.209265071425
W-Philosophy	0.178975042953
Taoism	0.171042057372
Buddha	0.133544231774
Catholic	0.112848602494
soul	0.101655253591
historia	0.0951813370688
PublicIssue	0.0889260982219
NewAge	0.0725290738503
Folklore	0.0677408107136
Christianity	0.0638427796481
Buddhism	0.0532224367836
Gossiping	0.0068733653514
