board	similarity
Agriculture	0.2640435013
Ecophilia	0.242694347159
Oceanography	0.23099327019
Olympics_ISG	0.218845079573
sky	0.194707215882
PublicBike	0.150823721687
IA	0.142733915438
swim	0.110540231331
Road	0.109236612292
HatePolitics	0.0954826059405
Soccer	0.0937937333203
EarthScience	0.0926609683638
politics	0.089953232662
TW-history	0.0858936914305
bridge	0.081301826904
Redology	0.0804845504945
TY_Research	0.078552165853
Bus	0.069189599447
Navy	0.0671134954109
Buddha	0.0651416585611
AirForce	0.0651150837386
MRT	0.0602252764013
juniorhigh	0.0565527979873
medache	0.0502494816719
soul	0.0495865057774
Military	0.0464799639701
RealPlaying	0.0451854276349
PSY	0.0422658041038
Cga	0.042259526112
FTV	0.0379419342071
PhD	0.037305447965
Tennis	0.0370612955045
Railway	0.0352057069807
Jinmen	0.034795309229
Badminton	0.0323214125982
historia	0.0281882134269
Physics	0.0260977653328
Buddhism	0.0259614193642
China_travel	0.0254802495338
PublicIssue	0.0240515434827
Suckcomic	0.0234433732279
teeth_salon	0.0217823476559
Gossiping	0.021304039411
Notebook	0.0201842867353
Militarylife	0.0201178878754
MenTalk	0.0188709859872
TAXI	0.0184349676894
Windows	0.0168604701187
basketballTW	0.0161535383928
Korea_Travel	0.0155429186382
PH-sea	0.0150659628357
Aviation	0.0134853513542
Nantou	0.0122911405179
Post	0.0112497952193
marvel	0.0111337620708
PlayStation	0.00787409608397
Stock	0.00769638798616
iPhone	0.00747453851745
ask	0.00699247609858
V_ScHooL	0.00669132050518
Hate	0.00573256674193
Kaohsiung	0.00554279548269
Taoyuan	0.00545030637018
movie	0.00529316072689
Tainan	0.00526687388007
Japan_Travel	0.00497610259152
home-sale	0.00489509731295
C_Chat	0.0045779158283
AllTogether	0.0035018565596
Wanted	0.00228962002096
Baseball	0.00228883138048
