board	similarity
Kitty_Sanrio	0.155598834851
Taipei	0.106773821314
Zhongshan	0.0769767034202
Zhongzheng	0.0763853175889
Food	0.062334718409
CAFENCAKE	0.0573858922138
SongShan	0.0486053858672
WuGu-BaLi	0.0461443282774
N_E_Coastal	0.0460439069054
NTU_GoodLife	0.0374126137499
Refresh	0.0350690581144
CN_Entertain	0.0306707959884
Google	0.0295932093054
NewYork	0.0289873900704
Wen-Shan	0.0289307130848
LivingGoods	0.0266170666753
Jewelry	0.0261982063742
Tai-travel	0.023890453408
BeautyMarket	0.0236606912052
forsale	0.0233623719177
TamShui	0.0230206656155
HsinYi	0.02275313792
ShuangHe	0.0217041492797
drawing	0.0211267653773
BigPeitou	0.0200264681413
Sijhih	0.0197155144895
soho	0.01839318502
Post	0.0181951628533
Miaoli	0.016488699197
Rent_ya	0.0137681918792
Hualien	0.0137142831893
HsinTien	0.0133996866146
creditcard	0.0130275496221
Coffee	0.0123979904977
hairdo	0.0120240999672
Android	0.0119237317538
Chiayi	0.0110931469875
BigBanciao	0.00995063271453
Lifeismoney	0.00984540933848
BigSanchung	0.00951239538568
travel	0.00851776556177
NTU	0.00822212632319
e-coupon	0.00778382419572
cat	0.00663591642562
BuyTogether	0.00619664862478
movie	0.00589982730527
Drama-Ticket	0.00574638277111
TaichungBun	0.0054602776823
give	0.00541729599358
Japan_Travel	0.00459021950892
HelpBuy	0.00343701543173
Wanted	0.00224709101192
