board	similarity
Beyonce	0.0635093008582
TW-language	0.0418131305701
Jolin	0.0415097575857
Disabled	0.0382490886759
Health_Life	0.035846133704
painting	0.0355940891517
Francais	0.0345890120575
Statistics	0.0266983536679
love-vegetal	0.0235595451699
Mechanical	0.0216254880795
FixMyHouse	0.0206857118611
Salesperson	0.0200859816413
Language	0.019705308335
hypermall	0.0196995322262
Finance	0.0192917539882
tennis_life	0.0191886681213
WesternMusic	0.0181159860355
talk	0.0170314871913
MenTalk	0.0163505894416
book	0.0151860566023
ask	0.0142876418749
WorkanTravel	0.0138988085873
studyabroad	0.0136951646255
Boy-Girl	0.0120702133328
Plant	0.010920141942
C_Chat	0.00954655680305
Salary	0.00798628663479
BabyMother	0.00524907457373
Gossiping	0.00490043403027
movie	0.00463962464181
LoL	0.00435781108052
