board	similarity
Ind-travel	0.157523207551
Spain	0.132559941688
Portugal	0.0839451056984
Academy_Art	0.0819574182404
travel	0.0597494976565
poetry	0.0583918356772
France	0.0463889300492
Holland	0.0441493595084
Catholic	0.0384072918513
Canada	0.0306136950775
Hotel	0.0234159930027
THU_Talk	0.0215078573628
Gra-Travels	0.0213900353503
Japan_Travel	0.0201303814673
London	0.0199304438836
NewYork	0.0187081416607
SongShan	0.0175525188917
Brand	0.0173729261056
Aviation	0.0163681415314
Food	0.0158049466459
NewActivity	0.0150498678424
points	0.0144422296245
Perfume	0.0142283608958
isLandTravel	0.0136026246874
FITNESS	0.0112796781869
Singapore	0.00937756790936
cat	0.00881293112855
Tour-Agency	0.00811408609225
THSRshare	0.00752588320323
Perfume_Shop	0.00713180259638
TaichungBun	0.00653958230676
HelpBuy	0.00553453248905
e-shopping	0.00529008042906
ask	0.00487882019896
Kaohsiung	0.00411458270925
Hsinchu	0.00371057499476
Tainan	0.00305149254249
WomenTalk	0.00282843647277
Wanted	0.00155223803616
Gossiping	0.00136077995331
