board	similarity
Employee	0.0798766363168
HitomiYaida	0.0735863455849
homemaker	0.0440689449813
Post	0.0409335539363
CourtBasebal	0.0351072783013
Foreign_Inv	0.0238629361123
elderly	0.0223503096106
License	0.021218467167
tutor	0.0202350971995
Wanhua	0.0186582539995
ChineseMed	0.0180442355067
Chemistry	0.0178847794752
MOD	0.0177306613982
Gossiping	0.0170242093654
Office	0.0161067331608
Rhinos	0.0159501921393
Electronics	0.0151453596623
post-b.test	0.0144424151107
Stock	0.013848788299
give	0.0132422876215
YuanChuang	0.0131483238439
Tech_Job	0.0120351573281
ask	0.0120176049462
MRT	0.011941775205
PublicServan	0.0118728772751
Salary	0.0115042714759
Accounting	0.0110057348392
C_Chat	0.0107948660977
LAW	0.0106527360843
Wargaming	0.0101911993837
drawing	0.0094667294267
Math	0.00937338748193
Nantou	0.0091684329364
MAC	0.00899527209669
CVS	0.00867922958638
Baseball	0.00866314549097
GraduateCram	0.00856468314619
MenTalk	0.00846693409756
sex	0.00843395185658
LicenseShop	0.00796947153489
home-sale	0.00751625740437
Test	0.00745292736663
car	0.00726296505447
DSLR	0.00712318695403
WomenTalk	0.00711196837972
CATCH	0.00622703896444
NTU	0.00608024932325
ChangHua	0.00601905118519
Nurse	0.00600323993147
Beauty	0.00571094922776
Militarylife	0.00543337581302
marriage	0.0052211114141
car-pool	0.00470749826999
EAseries	0.00470502911124
Kaohsiung	0.004629010048
AllTogether	0.00457813279929
BoardGame	0.00426792161705
movie	0.00426296514262
Teacher	0.00415535112712
cat	0.00415215853529
Taoyuan	0.00406559247819
Elephants	0.00405136492308
HatePolitics	0.00398904927799
joke	0.00351375153495
Chat82gether	0.00331981020215
KanColle	0.00330375819189
TaichungBun	0.0031920642568
forsale	0.00294770146489
Hsinchu	0.00231298734038
