board	similarity
RS	0.286926781318
Hattrick	0.286926781318
CGI-Game	0.286926781318
FCBayern	0.225220582773
Wizards	0.205726917595
Orl-Magic	0.205726917595
Nets	0.205726917595
Lionel_Messi	0.205726917595
LaClippers	0.205726917595
CONCACAF	0.205726917595
Argentina	0.205726917595
ManUtd	0.16785985179
Chelsea	0.159977315525
Soccer	0.146596807911
Liverpool	0.109503732034
Raptors	0.0949760889143
LFP	0.0949760889143
ChicagoBulls	0.0949760889143
Koei	0.0924930137472
Hornets	0.0813212955523
Bundesliga	0.0739470596989
Hawks	0.0710506256479
FCBarcelona	0.0710506256479
Little-Games	0.0708501761139
LeicesterCFC	0.0661406094781
ManCity	0.0626354350698
BVB_09	0.0592014153204
WesternMusic	0.056993433076
RealMadrid	0.0505912780911
Atletico	0.048838200955
Rhinos	0.045613400806
Celtics	0.0453033871026
GossipPicket	0.0446683299798
BLAZERS	0.0443519107044
Old-Games	0.0434732689153
PACERS	0.0406954669208
Thunder	0.0406372453225
G-S-WARRIORS	0.040404722009
GO	0.0346046198103
Cavaliers	0.0344607001778
CN_Entertain	0.0300809312413
MiamiHeat	0.0220631981259
tabletennis	0.0192944642554
SuperHeroes	0.0180234999254
MLB	0.0169537750686
HatePolitics	0.0127538634842
Palmar_Drama	0.0110703535546
HelpBuy	0.0102746718138
NTU	0.00953047614068
Japan_Travel	0.00838642372431
C_Chat	0.00820858687393
Baseball	0.00799342123428
Elephants	0.00796072750609
Gamesale	0.00634212375814
Gossiping	0.00291157237592
