board	similarity
Volunteer	0.0537061937668
Kaohsiung	0.0497185204942
learnyf	0.0374648744846
HsinYi	0.0306607235692
Aussiekiwi	0.027817535918
NewActivity	0.0253930663895
Oversea_Job	0.0247865045432
ShuangHe	0.0130220633979
PingTung	0.0130043069935
Teacher	0.0123741974613
Tainan	0.0116551985314
car-pool	0.0116016402481
DC_SALE	0.00990465625635
BuyTogether	0.00815344144604
ask	0.00793449297159
give	0.0074395685627
forsale	0.0072646169989
BabyProducts	0.00725423931445
mobilesales	0.00579630677734
