board	similarity
PttEarnMoney	0.232552424793
Sub_DigiTech	0.114404143173
Paramore	0.114404143173
KingOne	0.113798374077
Eason	0.0600701264667
LeicesterCFC	0.0489553011887
weiyin	0.0485589520748
BaseballNEWS	0.0473711573565
L_LifeInfo	0.0437896147204
Sub_DigiLife	0.043249038669
haiku	0.0417924973302
chicken	0.0408507900865
Board-Police	0.034424847488
NCCU	0.0339884911384
Rhinos	0.0325156631158
Koei	0.0288960512226
SYSOP	0.0280614661326
L_TalkandCha	0.0258123574246
CMWang	0.02466131136
I.O.I	0.0175128636513
SummonsBoard	0.0161762283559
talk	0.0149076065276
Plant	0.0126463662983
Monkeys	0.0112461710602
LoL	0.0111596310088
Lions	0.0111161223239
OverWatch	0.00989592274875
Hate	0.00792418449835
Elephants	0.00616266377246
NBA	0.00610929696989
Baseball	0.00481449192143
Drama-Ticket	0.00436487188706
movie	0.00406104868112
Gossiping	0.00308989398998
forsale	0.00269075486631
