board	similarity
Key_Mou_Pad	0.0575039388436
exchange_3C	0.049313883208
TVCard	0.0436679846611
CSU	0.0321175913237
nb-shopping	0.0309610457353
Audiophile	0.0308741935136
forsale	0.0259778735054
Bluetooth	0.0252044753608
MacShop	0.023853178249
Gamesale	0.0235492230524
cohabitation	0.0230184261848
NCUE_AccSo99	0.0226583575901
BikerShop	0.0218520703092
f-sexBM	0.0210829406437
AC_Sale	0.020651534396
VideoCard	0.0205196688934
mobilesales	0.0201274032519
PC_Shopping	0.0197275505612
Modchip	0.0197271035167
LCD	0.017917204538
Headphone	0.0154773924529
Database	0.0142169352445
SpaceArt	0.0138553817289
RTS	0.0128809127791
Disabled	0.0124102397932
optical	0.0123617551808
hardware	0.0111573563709
Digitalhome	0.0106580505985
NCTU_TALK	0.0101719457852
DC_SALE	0.010124002628
SurvivalGame	0.00983276981702
P2PSoftWare	0.00978741750306
bass	0.00950969702542
EZsoft	0.00933780659057
egg-exchange	0.00928236420097
MobileComm	0.00922068026526
Wanhua	0.00814360561061
Bank_Service	0.00801932667971
Physics	0.00774492976725
HelpBuy	0.00760977774154
CYCU_Talk	0.00737575091832
Wine	0.00732707703517
HsinTien	0.00731885913455
Jewelry	0.0071546815812
AskBoard	0.00713961648909
gallantry	0.00712461158435
MAC	0.00710218709962
CarShop	0.00706146480254
Gossiping	0.00701095302583
TaichungCont	0.00683208665532
equal_change	0.00681932826174
Koei	0.00674035888327
Post	0.00662983756088
street_style	0.00658041753168
bicycle	0.00651314064751
VR	0.00644435641617
car-pool	0.00638283520461
LoL	0.00634048174463
feminine_sex	0.00623042228548
give	0.00617741784684
iPhone	0.00613447737647
China_travel	0.00592902664181
E-appliance	0.00592820063541
Keelung	0.00531817826296
ChainChron	0.00529592101179
LivingGoods	0.00516396987237
DiabloEX	0.0050875163705
HsinChuang	0.00498926688985
Old-Games	0.00496428492642
photo-buy	0.00483262709053
mobile-game	0.0047500011515
Broker	0.00454749221888
Tech_Job	0.00451605770742
Pedal	0.0044907462153
Kaohsiung	0.00421897469198
creditcard	0.00418229990643
Windows	0.00399140371875
e-coupon	0.0039312982287
I-Lan	0.00389483205551
movie	0.00379861164933
part-time	0.00372457944943
Coffee	0.00365453595586
Yunlin	0.0036330778816
cat	0.00346733126221
PingTung	0.00325931150746
Neihu	0.00323143921676
watch	0.00321141402443
Perfume_Shop	0.00318305667976
CFantasy	0.00317087130508
car	0.00316885409665
TaichungBun	0.00315132504296
guitar	0.00311921350775
japanavgirls	0.00310144453723
Railway	0.00304683469084
shoes	0.00302417964139
NTU	0.00299592602535
MoveHouse	0.00298761674354
ChangHua	0.00296577181871
Insurance	0.00292597546625
Lifeismoney	0.0028760243215
Plant	0.002866298152
BigSanchung	0.00284580858298
ClashRoyale	0.00282973652571
C_Chat	0.00277036992897
Drama-Ticket	0.00267808982641
SportsShop	0.00260849472231
BigBanciao	0.00257481190115
biker	0.00249565335473
Chiayi	0.00246396437373
Tainan	0.00241281153991
PlayStation	0.0023825426053
barterbooks	0.00233791676679
Stock	0.00228402637751
job	0.00228073981432
THSRshare	0.00219821684153
BabyProducts	0.00217730914101
home-sale	0.002090656135
Taoyuan	0.00177447373783
e-shopping	0.00174437276512
Rent_tao	0.00172554479847
Test	0.00170018799206
HatePolitics	0.0016179761063
Chat82gether	0.00144896864354
BuyTogether	0.00144396764894
Hate	0.0013836648261
Wanted	0.00130646921096
Baseball	0.00119483546348
AllTogether	0.000857180568976
WomenTalk	0.000826151100378
