board	similarity
Sub_GOnline	0.0597977016772
NARUTO	0.0372080289891
LoL	0.0337426758353
OverWatch	0.0220450817255
Gossiping	0.0217679391265
DragonBall	0.0210957664959
hardware	0.0206013863347
C_Chat	0.02034111548
TORIKO	0.0194271213272
BlizzHeroes	0.0171236167739
WOW	0.0169862431567
movie	0.0150995298293
H-GAME	0.014680529504
Browsers	0.0140777394263
Child_Psy	0.0139992385191
Gov_owned	0.0136890638943
Suckcomic	0.0134673440431
Koei	0.0132360427791
JessicaJung	0.0125704210691
SENIORHIGH	0.0120208212511
LoL_Picket	0.0116109102002
StarCraft	0.0113338181846
VideoCard	0.0113295226043
Physics	0.011274347366
Hunter	0.0112043990373
Live	0.0111056229896
prozac	0.0104900867205
AC_In	0.0104893506203
Steam	0.0101311308765
NCHUS	0.0100966870794
joke	0.01006508904
Mabinogi	0.00950950696809
SET	0.00949022111716
PttNewhand	0.00896040318488
KR_Entertain	0.00890721203824
Psychiatry	0.00870565871689
Hate	0.00868005774065
SuperHeroes	0.00860816618938
KoreaStar	0.0084754488685
RO	0.00798451241435
Reptile	0.0077785586528
Rhinos	0.00760967087884
ONE_PIECE	0.0071216027237
Beauty	0.00700954059713
MenTalk	0.00684823156635
PC_Shopping	0.00672809204818
Road_Running	0.00663070900144
historia	0.0066108607728
MLB	0.00645921508586
FITNESS	0.00637958934323
ClashRoyale	0.00599972014918
sex	0.00585358201563
Test	0.00583238161698
stationery	0.00582571222105
TWICE	0.00577678599424
Key_Mou_Pad	0.00548868115558
DIABLO	0.00539831117649
japanavgirls	0.00531964941214
PuzzleDragon	0.00519737158884
NTU	0.0051386623002
biker	0.0048324483367
Lifeismoney	0.0043696593444
Salary	0.00405901757192
ToS	0.00402906766367
HatePolitics	0.00369147665516
Militarylife	0.00351814301185
Boy-Girl	0.00325491206549
WomenTalk	0.00316866663601
KanColle	0.00310049590126
ask	0.00275937565177
NBA	0.00274468058682
iPhone	0.00274107672535
MobileComm	0.00218043895089
Baseball	0.00163481612274
Wanted	0.000961294308529
