board	similarity
L_TradeCente	0.142769576612
Anchors	0.109376970496
Jay	0.0623209638205
Railway	0.0558829453322
Lifeismoney	0.0555628778813
Nangang	0.0548243279248
einvoice	0.0529035063179
hypermall	0.0505848455774
ForeignEX	0.0497348312899
MRT	0.0438867253867
BigPeitou	0.0348064350866
creditcard	0.0330994369381
LAW	0.0325948035476
China_travel	0.0314154109891
Bank_Service	0.030877595223
book	0.0287969497318
CVS	0.0243723969483
Accounting	0.0232341656319
dog	0.0203757972811
tax	0.0175331600898
Test	0.0134555786255
Kaohsiung	0.0117573727764
e-coupon	0.0116074825468
Baseball	0.00945613226206
forsale	0.00927933779863
C_Chat	0.00824146032697
Gossiping	0.00584646507219
HelpBuy	0.00512538511066
