board	similarity
WWR	0.0755096627749
ComGame-Plan	0.0606552885501
HardwareSale	0.0575039388436
Sub_DigiLife	0.0395950861296
sky	0.0312840032057
ID_Multi	0.0261700132745
PC_Shopping	0.0250333327316
Suit_Style	0.0242515775397
Linux	0.0239596491199
Japan_Living	0.0236309062924
Drink	0.02102492896
gallantry	0.0205390919156
StarCraft	0.019049224276
VideoCard	0.0173904423335
Steam	0.0170278172009
Browsers	0.016719058826
juniorhigh	0.0163592519385
Headphone	0.0142279381051
Pedal	0.0129460881051
ask	0.0116056417773
Bank_Service	0.011247553865
MacShop	0.010220234263
guitar	0.0089921832484
Test	0.00891497985249
Hate	0.008789777132
LoL	0.00823367487583
ClashRoyale	0.00815766837399
Beauty	0.00811218866541
Gamesale	0.00753148944907
PttEarnMoney	0.0067290379129
Tainan	0.00595053793165
Food	0.00562895072107
Hearthstone	0.00548868115558
forsale	0.00544134377835
WomenTalk	0.0053257111083
creditcard	0.00519007123892
e-shopping	0.00502874186667
Boy-Girl	0.00484592120367
nb-shopping	0.00460079814806
sex	0.00414025475841
movie	0.00384412948111
MobileComm	0.00320102330388
Baseball	0.00274770412449
TaichungBun	0.0026890031627
mobilesales	0.00239398769941
Wanted	0.00161568772148
Gossiping	0.00100084046513
