board	similarity
scholarship	0.471803828741
TIT	0.471803828741
NUU_Talk	0.471803828741
NUU_ID	0.471803828741
NUU-ARCHI	0.471803828741
NTUST-ARCH	0.471803828741
NTCUST	0.471803828741
NTCU	0.471803828741
NFU	0.471803828741
Lan_Yang	0.471803828741
HungKuang	0.471803828741
NCUT	0.270716382822
NHCUE-Talk	0.201176301501
OCU	0.197214016539
ASIA-uni	0.189240468027
CTUST	0.180598436139
KSU	0.166966826902
CHU	0.166966826902
NCNU	0.152270833189
YZU_Talk	0.150521815917
NDHU	0.147302537806
NTUST_Talk	0.129134363275
CYUT	0.122192003915
STUST	0.121943082086
NYUST	0.111662676551
FCU_Talk	0.0922213618458
PU_Family	0.0761780751075
learnyf	0.0743374571666
THU_Talk	0.0720050620199
Refresh	0.0612978888411
NCHUS	0.0441550852113
V_ScHooL	0.0295795066386
Test	0.0143973225009
