board	similarity
scholarship	1.0
TIT	1.0
NUU_Talk	1.0
NUU_ID	1.0
NUU-ARCHI	1.0
NTUST-ARCH	1.0
NTCUST	1.0
NTCU	1.0
NFU	1.0
HungKuang	1.0
NCUT	0.573790135498
LTU	0.471803828741
NHCUE-Talk	0.426398196127
OCU	0.418000034177
ASIA-uni	0.401099898939
CTUST	0.382782896487
KSU	0.353890360211
CHU	0.353890360211
NCNU	0.322741834452
YZU_Talk	0.319034748656
NDHU	0.312211408286
NTUST_Talk	0.273703508553
CYUT	0.258989004479
STUST	0.258461408445
NYUST	0.236671832124
FCU_Talk	0.19546547999
PU_Family	0.161461333009
learnyf	0.157560097308
THU_Talk	0.152616527534
Refresh	0.129922406532
NCHUS	0.0935878060361
V_ScHooL	0.0626945031742
Test	0.0305154846651
