board	similarity
Espannol	0.278964508344
Francais	0.174645167161
Italiano	0.129599422419
Cram_Talk	0.127572147334
GEPT	0.112733354775
foreigner	0.107672852808
learnyf	0.0822061119823
TW-language	0.0617921354578
NewActivity	0.0557179301387
AndroidDev	0.0518899464662
Deutsch	0.0436955907946
GMAT	0.0346711634064
GRE	0.0307167857745
unemployed	0.0281264817649
Refresh	0.0270306169179
TOEFL_iBT	0.0254990218299
CareerPlan	0.0242334968351
book	0.0224422054471
Soft_Job	0.0214983420639
TOEIC	0.0213646758762
Eng-Class	0.019705308335
IELTS	0.0190148760063
ChungLi	0.0179384075442
MenTalk	0.0109419053402
Boy-Girl	0.00715322058038
