board	similarity
Capricornus	0.0550540543903
Pisces	0.0406950885879
Sagittarius	0.0377590229353
Leo	0.0329904348045
Aries	0.0320223695263
Scorpio	0.0312037730803
Virgo	0.0310311967091
Cancer	0.0302865362458
Hong_Kong	0.0295226169586
Zastrology	0.0270508385018
Aquarius	0.0187259589107
Gemini	0.0174214853687
Taurus	0.0159183386434
TaiwanDrama	0.0147180058352
lesbian	0.0134368050711
WomenTalk	0.00981888746243
Test	0.00978592552914
MakeUp	0.00966844169633
Boy-Girl	0.00857032514313
Wanted	0.00618762558077
AllTogether	0.00478536808785
Gossiping	0.0022189319879
