board	similarity
weiyin	0.0854808213093
Golden-Award	0.0527075163347
Baseball	0.048676326194
einvoice	0.0476401561404
CMWang	0.0434125750155
Rhinos	0.042585470687
pal	0.0396660791662
Monkeys	0.0388289870865
BaseballNEWS	0.0386750390372
Tokusatsu	0.0335106024502
RailTimes	0.0315692911719
Zastrology	0.0249254594047
RedSox	0.0225381688151
Elephants	0.0175082721707
TW_Entertain	0.0152730750673
fastfood	0.0148903132059
PublicServan	0.0137909706208
NTU_GoodLife	0.0122797340593
LicenseShop	0.0121743980967
GambleGhost	0.0111161223239
Tainan	0.0089607939362
ChangHua	0.00864237072324
FORMULA1	0.00862832140581
NBA	0.00859139996323
forsale	0.00840567798268
points	0.00787518172683
AKB48	0.00767928310416
PttEarnMoney	0.00767877695524
movie	0.00754708185331
MobileComm	0.00724166632689
Gossiping	0.00712591523238
HatePolitics	0.00708011411322
Beauty	0.00695934056611
barterbooks	0.00652744324431
LoL	0.00544544645372
marvel	0.00536497879469
Boy-Girl	0.00505025596845
Hsinchu	0.00474266472528
iPhone	0.00360172423222
Hate	0.00290489013799
WomenTalk	0.00271780697593
