board	similarity
LoL_Picket	0.0768557031728
Gossiping	0.0583878418258
Sub_Strategy	0.0401994259637
Hearthstone	0.0337426758353
petwork	0.0290624359717
Expansion07	0.025266259442
C_Chat	0.0251242427654
movie	0.0214750968233
NBA	0.0214578800671
Baseball	0.0202660022839
WomenTalk	0.0185034668316
japanavgirls	0.0184459905859
DIABLO	0.0177284542045
ascii_wanted	0.0175750957396
Programming	0.017231636762
ONE_PIECE	0.0170373876208
NARUTO	0.0169394381743
Chelsea	0.0162056413468
RomanceGame	0.0160001490077
ONLINE	0.0150382309867
b04902xxx	0.0143448777644
Cga	0.0132491828781
GTA	0.0124936751461
PttEarnMoney	0.0122933324406
PathofExile	0.0120021306579
Hate	0.0119776958765
joke	0.0116309906506
MLB	0.0115173536451
RealPlaying	0.0113973759975
CFantasy	0.0113649288206
Hunter	0.0112419368482
GambleGhost	0.0111596310088
Militarylife	0.0110676221989
Suckgame	0.010972420428
HateP_Picket	0.0109103093303
Test	0.0106089644516
CCRomance	0.0105430408323
Rockets	0.0104564460311
money	0.0104493386269
HK-movie	0.0102382687196
Free_box	0.00982121169821
OverWatch	0.00946862601179
RESIT	0.00945537294908
Google	0.00945417891935
WindowsPhone	0.00942770797094
FBaseball	0.0092624056828
sky	0.00904625424463
NY-Yankees	0.00903832935404
GameDesign	0.00903141601413
EAseries	0.00872069731783
sex	0.00858655389727
finding	0.00838981584975
PC_Shopping	0.00828684492905
Key_Mou_Pad	0.00823367487583
SENIORHIGH	0.00817683358529
L_TalkandCha	0.00805163420179
EZsoft	0.00778415343478
Shooter-game	0.00775270447656
Spurs	0.00773543505758
Atletico	0.00751876449832
PU_Family	0.00749914445748
Facebook	0.00746715893734
Civil	0.00744352061897
AntiVirus	0.00742363369498
DummyHistory	0.00701082566898
SailorMoon	0.0069764423763
TaiwanDrama	0.006814361684
Child_Psy	0.00680380619495
DiabloEX	0.00676560439724
bass	0.00672803325722
SportLottery	0.00666985125391
Mavericks	0.00659528217313
Suckcomic	0.00654529878213
rent-exp	0.00653989239984
Mancare	0.00653971840584
Theater	0.00647390438408
RockMetal	0.0064303203646
MobileComm	0.0063505918726
HardwareSale	0.00634048174463
CS_TEACHER	0.00633597892174
BandPlayer	0.00629491903996
JessicaJung	0.00610938292296
NCTU_TALK	0.00599167709536
Koei	0.00597809281951
Gov_owned	0.00589328312781
MiamiHeat	0.00578164558117
toberich	0.00577542760948
RedSox	0.00571118222865
Transfer	0.0056855470931
Comic	0.00558899547377
Electronics	0.00551051052913
StarCraft	0.00550837835011
Palmar_Drama	0.00547066714584
Lions	0.00544544645372
FITNESS	0.00544297184372
Aquarius	0.00540480334845
MAC	0.00535956277915
Wanted	0.00530212134635
HandMade	0.00512925410555
LeicesterCFC	0.00506400221018
dog	0.00505767304909
GBF	0.00505128561637
Elephants	0.00492131734594
Tennis	0.00481336892064
VR	0.00475863176864
juniorhigh	0.00473053117
GossipPicket	0.0047238551154
Digitalhome	0.0046437476886
SET	0.00461236696126
LivingGoods	0.00457997737937
battlegirlhs	0.00445669624957
Stock	0.00445293173174
Tech_Job	0.00440320579999
MysticWiz	0.00438268544619
WOW	0.00437607135621
Eng-Class	0.00435781108052
PttNewhand	0.00435486877485
Steam	0.00433438629038
KR_Entertain	0.00432901720781
BigPeitou	0.00431982037914
AC_In	0.00431255290658
KoreanPop	0.00428628863725
ClashRoyale	0.00425256893111
IELTS	0.00424487379167
Psychiatry	0.00423105975573
MuscleBeach	0.00420312968352
Aviation	0.00413156463857
KoreaStar	0.00411917487067
I.O.I	0.00406835068622
MenTalk	0.00404117788547
Thailand	0.00400916101906
Sad	0.00396834595772
NBA_Film	0.00395796599792
RO	0.00388057357222
SuperHeroes	0.00382081604573
Reptile	0.00378047745079
Rhinos	0.00369839586605
FishShrimp	0.00369695430382
heart	0.00366305282744
Sony-style	0.00364222963431
BlizzHeroes	0.00357153031162
ID_Problem	0.00356705787278
HatePolitics	0.00343129186643
nb-shopping	0.00340591550652
CareerPlan	0.00333435726358
MabinogiHero	0.00330645525779
Jeremy_Lin	0.0032262086997
historia	0.00321296157777
KanColle	0.00320803020103
LAW	0.0031355043843
shoes	0.00311630602721
IA	0.00310148848844
PlayStation	0.00301013518316
Contacts	0.00299213356554
Beauty	0.00298637827598
Boy-Girl	0.00298320144807
Browsers	0.00296981821959
biker	0.00293423268187
car	0.00291808553028
iPhone	0.00290188739261
watch	0.00288075180413
TWICE	0.00280759073294
Yunlin	0.00276591727089
Tour-Agency	0.00275707860421
forsale	0.00271919184324
Monkeys	0.00268998476491
V_ScHooL	0.00265932009873
Headphone	0.00258365306275
PuzzleDragon	0.00252598803609
Gamesale	0.00250604088868
NTU	0.00249745458255
graduate	0.00247858505448
Road_Running	0.00243461537768
Hsinchu	0.00240358679692
Lifeismoney	0.00239750249522
HsinChuang	0.00237423443334
Live	0.00234282511529
marvel	0.00233814440453
PublicIssue	0.00230007874962
THSRshare	0.0022651817037
Diary	0.00221260260908
aqua-shop	0.00215685729776
ToS	0.00214414483057
TaichungBun	0.0021009510939
prozac	0.00209975413403
Windows	0.00204391930111
ask	0.00202633485896
Food	0.00201205531044
StupidClown	0.00192773608886
ShuangHe	0.0019224844046
hairdo	0.00188868129335
Tainan	0.00185987664115
gay	0.00163590724703
Chiayi	0.00155175734052
mobilesales	0.00149904280234
Salary	0.00148306239314
Kaohsiung	0.00139809065666
BabyMother	0.00114852998125
part-time	0.00107591364911
Japan_Travel	0.00104500584409
Drama-Ticket	0.000988775488522
MacShop	0.000939722440739
HelpBuy	0.00088334572678
AllTogether	0.0008832930878
home-sale	0.000854009122886
