board	similarity
NEMS	0.115866652509
Grad-ProbAsk	0.068724572096
Mancare	0.0452883537429
Civil	0.0404462209668
Electronics	0.0381609626989
AfterPhD	0.0366700921256
Bio-Job	0.026922425291
CareerPlan	0.0241002038298
Nantou	0.0217712817331
Eng-Class	0.0216254880795
Tech_Job	0.0191129611862
toberich	0.0166413248869
MenTalk	0.0131485442354
ChangHua	0.011401414568
ask	0.0101692253151
MobileComm	0.00711798400922
movie	0.00622738849702
Tainan	0.00563405917396
AllTogether	0.00541836618133
TaichungBun	0.00535597277062
Gossiping	0.00406500410699
