board	similarity
N_E_Coastal	0.0416147379918
ChangHua	0.0342516835931
Tai-travel	0.0215923240641
Starbucks	0.0207605808011
Interior	0.0199052401761
Wen-Shan	0.0196573561167
Nantou	0.0186419927503
Taitung	0.0175378182691
Daan	0.016488699197
Post	0.0164448889278
NTU_GoodLife	0.0163443708757
dog	0.0149953490051
Taipei	0.0140741312011
Yunlin	0.0135010645484
MoveHouse	0.0130816719801
Coffee	0.0112053724556
PingTung	0.010728900314
BabyMother	0.0105680252891
Tainan	0.0097655915073
Taoyuan	0.00974016089549
Lifeismoney	0.00946720746865
travel	0.00769840367494
NTU	0.00743120329426
Hsinchu	0.00691199962944
Food	0.0059868924767
ShuangHe	0.00572037327143
part-time	0.00500593617801
mobilesales	0.00398145924378
forsale	0.0033009132607
Wanted	0.00228051387933
Gossiping	0.00215132156534
