board	similarity
scholarship	0.322741834452
TIT	0.322741834452
NUU_Talk	0.322741834452
NUU_ID	0.322741834452
NUU-ARCHI	0.322741834452
NTUST-ARCH	0.322741834452
NTCUST	0.322741834452
NTCU	0.322741834452
NFU	0.322741834452
Lan_Yang	0.322741834452
HungKuang	0.322741834452
NCUT	0.185186080921
LTU	0.152270833189
NHCUE-Talk	0.137616536025
OCU	0.134906097831
ASIA-uni	0.129451717182
CTUST	0.123540054209
KSU	0.114215224049
CHU	0.114215224049
YZU_Talk	0.102965860035
NDHU	0.100763682647
NTUST_Talk	0.0883355724463
CYUT	0.0835865864085
STUST	0.0834163090964
NYUST	0.0763839012626
FCU_Talk	0.0630848875838
PU_Family	0.0521103268085
learnyf	0.0508512348415
THU_Talk	0.0492557380641
Refresh	0.0419313958205
NCHUS	0.0302047002024
V_ScHooL	0.0202341389645
C_Chat	0.0181528466514
WomenTalk	0.0133832766807
Gossiping	0.0128775701996
Test	0.0098486235
