board	similarity
scholarship	0.573790135498
TIT	0.573790135498
NUU_Talk	0.573790135498
NUU_ID	0.573790135498
NUU-ARCHI	0.573790135498
NTUST-ARCH	0.573790135498
NTCUST	0.573790135498
NTCU	0.573790135498
NFU	0.573790135498
Lan_Yang	0.573790135498
HungKuang	0.573790135498
CYUT	0.451365383364
LTU	0.270716382822
NHCUE-Talk	0.244663078732
OCU	0.239844296249
ASIA-uni	0.23014716536
CTUST	0.219637050041
KSU	0.203058797737
CHU	0.203058797737
NCNU	0.185186080921
YZU_Talk	0.18305899166
NDHU	0.179143826264
NCHUS	0.163104592161
NTUST_Talk	0.157048373259
STUST	0.148302606572
TaichungCont	0.143348757153
NYUST	0.135799962623
FCU_Talk	0.112156164248
PU_Family	0.0926449201451
learnyf	0.0904064295832
THU_Talk	0.0875698580131
Refresh	0.0745481952482
V_ScHooL	0.0359734874713
TaichungBun	0.0258936907763
part-time	0.0239876389687
Test	0.0175094840808
