board	similarity
NUK_TALK	0.118178117414
NTHU_EDA223	0.118178117414
CCU_talk	0.0539631708671
YZU_Talk	0.0511432184464
ChungLi	0.0445819315428
CYCU_Talk	0.0294561499951
NCCU	0.0265744910922
NSYSU	0.0236299814684
need_student	0.0184617130972
poem	0.0150705001578
NCHUS	0.0150026968165
Steam	0.0115508152114
BigSanchung	0.0103794272765
biker	0.00996676004474
car-pool	0.00820551118291
KanColle	0.0081497798182
car	0.00772803662986
cat	0.00660978547801
Clothes	0.00609990374496
Chat82gether	0.00491115525093
HelpBuy	0.00423188580175
AllTogether	0.00423163362171
part-time	0.00416979441642
forsale	0.00226337467557
Gossiping	0.00147512108482
