board	similarity
NTUMG	0.0808785958675
NTUARTpro	0.0808785958675
NTUDormM7	0.0727445735862
MysteryStory	0.0727445735862
JapaneseRock	0.0727445735862
NTU_BOTDorm	0.0543893776934
NTUSA	0.0543893776934
NTULibrary	0.0543893776934
Brit-pop	0.0486464962611
Wizards	0.0463258588235
Orl-Magic	0.0463258588235
Nets	0.0463258588235
Lionel_Messi	0.0463258588235
LaClippers	0.0463258588235
CONCACAF	0.0463258588235
Argentina	0.0463258588235
NTUMystery	0.0460327908785
EarthScience	0.0417485333558
PostRock	0.0363970790684
speech	0.0359919242749
Detective	0.0334359347382
sky	0.0313628503005
NBAGAME	0.0309133530672
ZACTION	0.030154212581
NTU-Textbook	0.0289232951856
Psy-Team	0.0281284339855
TWSU	0.0235257744263
NCCU	0.0227662577287
TaiwanJobs	0.0223768714922
Raptors	0.0213868410517
LFP	0.0213868410517
ChicagoBulls	0.0213868410517
Deutsch	0.0209465400874
N_E_Coastal	0.0207512811403
NTU_GoodLife	0.0196113305932
Physics	0.0190905117085
Hornets	0.0183120366608
Post	0.0178918230339
Chemistry	0.0170437612351
part-time	0.0169082349526
Bundesliga	0.0166514964987
Hawks	0.0159992736564
FCBarcelona	0.0159992736564
Bioindustry	0.0159688976932
FCBayern	0.0154082244833
Electronics	0.0144331605688
AfterPhD	0.0142993419684
ManCity	0.0141043299356
AdvEduUK	0.0133595661766
BVB_09	0.0133310528362
unemployed	0.0131189210401
ManUtd	0.0128341544359
Oversea_Job	0.0126808988009
battlegirlhs	0.0116730042047
RealMadrid	0.0113922107712
Soccer	0.011208434015
CareerLady	0.0111573534049
Atletico	0.010997450548
FBaseball	0.0109834048999
Storage_Zone	0.0108913673406
Tai-travel	0.010767060151
NBA_Film	0.0103667270885
Suckcomic	0.0102863410058
Celtics	0.0102014764994
BLAZERS	0.00998722178832
biker	0.00979577016889
Gossiping	0.00975800183181
FAPL	0.00953047614068
PACERS	0.00916385895133
Thunder	0.009150748535
G-S-WARRIORS	0.00909838862837
studyabroad	0.00886054474493
job	0.00882222021338
WorkinChina	0.00865613346932
Tech_Job	0.00832633811327
Daan	0.00822212632319
Test	0.00790301543258
GO	0.00779231396025
Cavaliers	0.00775990594747
PttLifeLaw	0.00760996871916
Badminton	0.00751866929833
dog	0.0074774639471
Miaoli	0.00743120329426
poem	0.00729844063171
toberich	0.00710548923658
Taipei	0.00701809665164
CN_Entertain	0.0067736637979
Hunter	0.00632891562596
Examination	0.00608024932325
barterbooks	0.00576274140002
joke	0.00572922234267
SportsShop	0.00569542428114
SENIORHIGH	0.00567843907199
movie	0.0056093370285
Coffee	0.00558758375828
Hearthstone	0.0051386623002
friends	0.00511057914866
MiamiHeat	0.00496822007312
C_Chat	0.00481612919297
Perfume_Shop	0.0046530144605
iPhone	0.00464138238964
BikerShop	0.00456235129623
PC_Shopping	0.00447644627028
tabletennis	0.00434475292597
Boy-Girl	0.00414339548082
SuperHeroes	0.00405855550071
travel	0.00383882601932
MLB	0.00381767344563
HatePolitics	0.00380146725002
WomenTalk	0.00377896889363
Salary	0.00365103426875
Rhinos	0.0035877875641
TaichungBun	0.00304195984721
Hate	0.00302111335711
HardwareSale	0.00299592602535
Food	0.00298537717491
Baseball	0.00294515522939
ShuangHe	0.00285247678373
LoL	0.00249745458255
Palmar_Drama	0.00249283682414
give	0.00217429392781
Elephants	0.00179260712643
forsale	0.00110201060056
