board	similarity
PTT_KickOff	0.0696381902619
Nangang	0.0507956377514
TallClub	0.0475360066197
BigShiLin	0.0390462093092
sinica	0.0346774125475
forsale	0.0341185942758
BigPeitou	0.0329706293531
MP3-player	0.0323437973167
SongShan	0.0280092380222
HsinYi	0.0274750089764
Supermission	0.0257676579003
Interior	0.0246825531596
CVS	0.0237337826146
Taipei	0.0228632171261
Volleyball	0.0224157676642
TAXI	0.0195255551125
Tai-travel	0.0187227795349
Songs	0.0174035109494
I-Lan	0.0156939598753
Plant	0.0154260653886
HsinTien	0.0152666290604
E-appliance	0.0145147792631
e-coupon	0.0139414854774
SportsShop	0.013268768892
teeth_salon	0.0123819057014
Food	0.0121013603309
Wen-Shan	0.0119358053147
BigBanciao	0.0117774826797
Digitalhome	0.0111939913903
FITNESS	0.0108278132837
Sijhih	0.0108195633258
talk	0.00983627256645
car-pool	0.00982017206665
part-time	0.00951057285193
nb-shopping	0.00933933780912
Audiophile	0.00928317674213
HelpBuy	0.00918970408686
give	0.008787670255
Badminton	0.00836118474062
Keelung	0.00821837410668
Perfume_Shop	0.00749627305805
BabyProducts	0.00683130022417
travel	0.00667531268743
MacShop	0.00620044579455
ShuangHe	0.00613142334801
Rent_apart	0.00602602640752
equal_change	0.00586351648284
BoardGame	0.0056700032421
Lifeismoney	0.00540300532671
BikerShop	0.00526373059987
BeautyMarket	0.00475027861204
mobilesales	0.00455638715896
Chat82gether	0.00434898534427
WomenTalk	0.00422285614196
movie	0.00400227493164
ask	0.00397478642061
BabyMother	0.00366303285795
BuyTogether	0.0034006230088
Hsinchu	0.00334789742023
Rent_tao	0.00324167207763
HardwareSale	0.00323143921676
Drama-Ticket	0.00315352421156
Wanted	0.0027232233414
TaichungBun	0.00261734033782
Hate	0.00246291714717
AllTogether	0.00227896318203
Gossiping	0.000923017216221
