board	similarity
share	0.0447129391013
travelbooks	0.0381613785232
Wanted	0.0253050290668
CATCH	0.023947394989
NewActivity	0.0236264933585
KTV	0.0211691088156
Salesperson	0.0209349356896
Perfume	0.0203994951415
Android	0.0183491336015
MRT	0.0172078292122
japanavgirls	0.0139031585116
Kaohsiung	0.0125588568189
LinKou	0.0115132544666
Perfume_Shop	0.0102250128093
AllTogether	0.0102112535924
TaiwanDrama	0.0102083700419
MobileComm	0.00784353048354
WomenTalk	0.00677015690799
PlayStation	0.00633402940418
creditcard	0.00627319339558
MacShop	0.00595425738926
Taoyuan	0.00585842722792
car	0.00451428261747
Hate	0.00444478122573
Gamesale	0.00343790262175
Gossiping	0.00272447780579
