board	similarity
Ghost-Shell	0.0929471455896
Evangelion	0.0929471455896
Seiya	0.0689278986369
model	0.0644003727503
AC_Music	0.0586711245247
Toy	0.0440596767127
memento	0.0388796993578
LightNovel	0.0381875776639
e-seller	0.0262122627367
AC_Sale	0.0221061934234
Old-Games	0.019600568483
BB_Online	0.018289659123
japanavgirls	0.0135585781566
forsale	0.0112098833783
PlayStation	0.0104157561864
barterbooks	0.0102206655079
ClashRoyale	0.00975892137414
TaichungBun	0.00881414876748
give	0.00650246993077
Hate	0.00535817711416
movie	0.00419983032402
Gamesale	0.00414438646429
C_Chat	0.00386453803869
Gossiping	0.00190262467349
