board	similarity
paranormal	0.0844982073183
Wizards	0.0538109144104
Orl-Magic	0.0538109144104
Nets	0.0538109144104
Lionel_Messi	0.0538109144104
LaClippers	0.0538109144104
CONCACAF	0.0538109144104
Argentina	0.0538109144104
FCU_Talk	0.0276203867611
Raptors	0.0248423990956
LFP	0.0248423990956
ChicagoBulls	0.0248423990956
Hornets	0.0212707861755
Bundesliga	0.0193419458517
SuperHeroes	0.0190837124846
Buddhism	0.0187257099093
NDS	0.0186615207395
Hawks	0.0185843407379
FCBarcelona	0.0185843407379
FCBayern	0.0178977933694
Old-Games	0.0178181193159
ManCity	0.0163832233283
AC_In	0.016314919061
PlayStation	0.015664876417
BVB_09	0.0154850047336
ManUtd	0.0149078204575
BL	0.0149042043169
Tobacco	0.0143712309008
movie	0.0132794635186
RealMadrid	0.0132328961475
Soccer	0.0130194258406
Atletico	0.0127743529251
ChangHua	0.0127477182901
SMSlife	0.0125331441893
Celtics	0.0118497701437
BLAZERS	0.0116008974361
Gossiping	0.0115113651712
FAPL	0.0110703535546
PACERS	0.0106445005494
Thunder	0.0106292718303
G-S-WARRIORS	0.0105684519227
GO	0.00905134951025
DSLR	0.00902732830044
Cavaliers	0.00901370520432
PttLifeLaw	0.00883954201416
DIABLO	0.00874025233005
C_Chat	0.00843629521199
Test	0.00830763505584
Steam	0.00828113517728
PingTung	0.00826625660614
watch	0.00814477914544
EAseries	0.00814399329984
CN_Entertain	0.00786811193857
Perfume_Shop	0.00715094469463
Aviation	0.00664876068375
Salary	0.00600184744061
MiamiHeat	0.00577095539977
gay	0.00561874265458
LoL	0.00547066714584
KanColle	0.00517558145178
tabletennis	0.00504675215466
WomenTalk	0.00488432213294
HatePolitics	0.00483504122379
BeautyMarket	0.00453144907819
MLB	0.00443451031987
Rhinos	0.00416748085059
iPhone	0.004053080342
Baseball	0.00342101582137
NTU	0.00249283682414
Gamesale	0.00240432476441
Elephants	0.00208224587955
