board	similarity
Perfume	0.164971901044
BeautyMarket	0.0633130663231
poetry	0.0489080775873
HelpBuy	0.0264341727117
forsale	0.0262486592094
watch	0.0249283099916
SwimWear	0.0247161462533
RockMetal	0.0178943325239
Jewelry	0.0132398032811
CareerLady	0.0118542607472
Chat82gether	0.0109506197402
Post	0.0102968931077
photo-buy	0.0102383661131
NightLife	0.0102250128093
stationery	0.00889494787335
Tainan	0.00839583832196
Neihu	0.00749627305805
Clothes	0.00735607145694
Palmar_Drama	0.00715094469463
EuropeTravel	0.00713180259638
Chiayi	0.00706561275417
equal_change	0.00680536770374
Keelung	0.00654889891227
BeautySalon	0.00623237531066
Steam	0.00612759801435
HsinChuang	0.00585251488054
BigBanciao	0.00545497643878
friends	0.00542979464743
give	0.00536652847769
MakeUp	0.00518334310565
Taoyuan	0.00516032633551
Headphone	0.00508036526978
cat	0.0047460578895
NTU	0.0046530144605
Hsinchu	0.00413407839409
mobilesales	0.00403579396586
Gamesale	0.00401686729126
HardwareSale	0.00318305667976
Gossiping	0.0031589819798
BabyProducts	0.00298028496417
Baseball	0.00277177204734
Drama-Ticket	0.00251291934522
