board	similarity
KyoumeiWinds	0.0879890010593
NPUST	0.0395969118202
band	0.0387761847664
Tai-travel	0.0374054005476
Disabled	0.0261124193625
forsale	0.0191401756692
feminine_sex	0.0182942406811
Aussiekiwi	0.0174788219486
LGBT_SEX	0.0141646585456
Kaohsiung	0.014005437695
Chiayi	0.0130877021163
FongShan	0.0130043069935
HsinYi	0.0128982209025
Nurse	0.0109868362353
NBA	0.010758602661
Miaoli	0.010728900314
Pedal	0.0106671749256
Wen-Shan	0.0106639386885
Tainan	0.0100546631455
WorkanTravel	0.00978285291898
Food	0.0097166378547
EAseries	0.00861091425921
Clothes	0.00854986398867
prozac	0.00854431299052
E-appliance	0.00830887235904
Palmar_Drama	0.00826625660614
dog	0.00813484180957
I-Lan	0.00748434225433
Android	0.0070641484597
Militarylife	0.00706162361372
BigBanciao	0.00690462947429
Gossiping	0.00643708194498
CarShop	0.00597142725955
travel	0.00596399851947
biker	0.00592809515662
movie	0.00578544576425
ChangHua	0.0056990522372
Steam	0.00548044237294
BabyProducts	0.00540636446262
BabyMother	0.00535931815508
Lifeismoney	0.00513587480422
StupidClown	0.00501660531085
mobilesales	0.00459827111506
Teacher	0.00454682567584
home-sale	0.00453535698178
sex	0.00451559571941
car	0.00407161185327
BeautyMarket	0.0038759927891
DC_SALE	0.003690819897
WomenTalk	0.00367650534512
GetMarry	0.00360379282215
give	0.00353312601192
Hsinchu	0.00342447661618
ask	0.00333784826918
MobileComm	0.00330641893114
HardwareSale	0.00325931150746
BuyTogether	0.00303825626445
TaichungBun	0.00293146218241
joke	0.00290595911871
Japan_Travel	0.00271944997951
Hate	0.00265886204494
Drama-Ticket	0.00257312004253
Gamesale	0.00179631640799
