board	similarity
LAW	0.120644372498
lostsleep	0.0585382125178
traffic	0.0568268838798
EZsoft	0.0335674855227
Zastrology	0.0272369193055
Lawyer	0.0256143627451
facelift	0.0229593234743
FengYuan	0.0203767618756
Aquarius	0.0188547734569
Sijhih	0.0180835911079
Suckcomic	0.0169355276999
WomenTalk	0.0148275415191
car	0.013118046528
Loan	0.0125634538918
Android	0.0117059020143
Test	0.010987252003
Hunter	0.0104199856716
MenTalk	0.00924318348434
biker	0.00897135821374
Rent_apart	0.00892158485102
Palmar_Drama	0.00883954201416
job	0.00819878843663
BuyTogether	0.00786701920048
e-shopping	0.00775138367789
movie	0.007647574369
NTU	0.00760996871916
NBA	0.00721115679361
StupidClown	0.00705520984571
C_Chat	0.00703703239717
Tech_Job	0.00696420614778
ask	0.0063323922206
PlayStation	0.00605191000878
home-sale	0.00599512660241
forsale	0.0049023210584
Tainan	0.00396063942701
Gossiping	0.00156450491051
