board	similarity
RESIT	0.0640147154268
backQuarter	0.0355244691969
WeiBird	0.027694635428
TW-language	0.0275223664941
biker	0.0225883920321
TPC_Police	0.0223532797746
Gossiping	0.0163202491263
Test	0.016176418294
V_ScHooL	0.0149485126584
Design	0.0147709646601
Yunlin	0.0146599455706
FBaseball	0.0134933848924
poem	0.0134881258547
StupidClown	0.0126440383957
Mabinogi	0.0123817479215
Hearthstone	0.0120208212511
Live	0.0108707085661
WindowsPhone	0.0107178456168
NCHUS	0.009883114421
mobile-game	0.00900309016393
LoL	0.00817683358529
MenTalk	0.00781971289801
SuperBike	0.00758418036514
C_Chat	0.00722469335325
talk	0.00701234779703
joke	0.0069827787596
Boy-Girl	0.00678287716649
HomeTeach	0.00656599885347
WomenTalk	0.00656056517199
ChungLi	0.00603885124669
medstudent	0.00571006155549
NTU	0.00567843907199
ChangHua	0.00562128518243
ask	0.00549703583483
Lifeismoney	0.00545117894802
Steam	0.0050065521576
barterbooks	0.00500254375428
TaiwanDrama	0.00487269019074
Chiayi	0.0046701659031
PlayStation	0.0045158401463
ToS	0.00445229009196
gay	0.00419907868824
e-coupon	0.0040291149175
SportsShop	0.00394393421812
Elephants	0.00383708243371
Teacher	0.003628066878
PC_Shopping	0.00354889463493
KanColle	0.00342617904033
Taoyuan	0.00336331435418
sex	0.00314721116818
give	0.00281920143271
MobileComm	0.00263830414097
TaichungBun	0.0023391133961
Hate	0.0023230834987
AllTogether	0.00200833521331
MacShop	0.00200825034135
Baseball	0.00192203337316
HelpBuy	0.00177909081699
Wanted	0.00116315421436
forsale	0.00100965145761
