board	similarity
Ocean	0.0874933440344
CD-R	0.0768444630752
Delivery	0.0549381136563
Jolin	0.0547589738922
SongShan	0.0225065216608
postcrossing	0.0191552115815
Hunter	0.0147739761476
NTU_GoodLife	0.0142647032571
ShuangHe	0.0132510465916
Rhinos	0.0129956066689
Palmar_Drama	0.0125331441893
ToS	0.0118058590208
DSLR	0.0114163673809
marvel	0.0114038327611
ChangHua	0.0106811937216
HatePolitics	0.00775109735545
WomenTalk	0.0073559291869
Tech_Job	0.0068799860299
BoardGame	0.00684021933549
Kaohsiung	0.0068189081917
Salary	0.00679869897684
Elephants	0.00649314283826
C_Chat	0.0056318851814
forsale	0.00523088596709
TaichungBun	0.00501763902974
MacShop	0.00430790371729
Baseball	0.00349991728832
mobilesales	0.00294911523691
Gossiping	0.0019976204882
