board	similarity
Sportcenter	0.277467536335
CourtGeneral	0.277467536335
Aikido	0.277467536335
Sub_DigiTech	0.245283652797
Paramore	0.245283652797
L_LifeInfo	0.0938853817288
Sub_DigiLife	0.0927263811469
chicken	0.0875845116629
Board-Police	0.0738072250235
L_TalkandCha	0.055341958261
Windows	0.0487996849222
IdolMaster	0.0383128153675
haiku	0.0331601711471
GambleGhost	0.0280614661326
equal_change	0.0224495393515
Test	0.0124658268508
movie	0.0105207121169
Tainan	0.0104222771078
C_Chat	0.00968079399243
Wanted	0.00530162034638
Gossiping	0.00375986459665
