board	similarity
Insurance	0.0401046006606
Starbucks	0.0242326737373
NightLife	0.0209349356896
TaiShan	0.0202133779693
Eng-Class	0.0200859816413
Bank_Service	0.0181137888566
Taipei	0.0139131158827
E-appliance	0.0134400956359
I-Lan	0.0132561053263
toberich	0.0125040022132
TuCheng	0.012188069618
ChungLi	0.00990333847393
job	0.00876328467636
NBA	0.00770765343157
ask	0.00764097911135
HatePolitics	0.00668969487182
iPhone	0.00660748833827
Taoyuan	0.00615775761581
MobileComm	0.00488445502842
Hsinchu	0.00436978596302
TaichungBun	0.00341623880097
Tainan	0.00333955219152
forsale	0.00289658927286
Wanted	0.00215341907059
