board	similarity
SISTAR	1.0
Rainbow	1.0
BraveSound	1.0
ZEA	0.565682726431
KR_1N2D	0.505993910328
KARA	0.505993910328
JoonYoung	0.505993910328
We2NE1	0.407203640112
AfterSchool	0.398258232057
BlockB	0.361225442795
NineMuses	0.355538256693
GirlsDay	0.334513284747
EXID	0.220541626696
JessicaJung	0.19079410126
AOA	0.184635512981
SuperJunior	0.176583389518
APINK	0.173984958786
MAMAMOO	0.1720021614
JYPnation	0.149286937456
YGFamily	0.148927574242
KR_Entertain	0.135193841656
TWICE	0.0876801728346
