board	similarity
forsale	0.0588192414611
bicycle	0.0508488518239
Badminton	0.0465593270397
Vocal	0.0387158858073
jersey	0.0347045947703
BeautyBody	0.0239970256134
outdoorgear	0.0224627293141
Yunlin	0.0165994399514
DC_SALE	0.0161393754115
MoveHouse	0.0136503445146
Neihu	0.013268768892
isLandTravel	0.01302946958
AnimalGoods	0.0127462922047
photo-buy	0.0117086335018
littlegift	0.0100200195871
GoodPregnan	0.00994093230309
Coffee	0.00969520959556
model	0.00969454958719
Ind-travel	0.00961332601571
Taoyuan	0.00858232443552
shoes	0.00802292160538
car	0.00783166664457
MacShop	0.0077279101529
Keelung	0.00748934511203
MuscleBeach	0.00660788424764
Chiayi	0.00653671254789
Hsinchu	0.00652712231252
AllTogether	0.00604302749058
travel	0.00590021204913
HelpBuy	0.00572085923334
NTU	0.00569542428114
DiabloEX	0.00534648981791
E-appliance	0.00530454325824
BabyProducts	0.0051995187356
Wanted	0.00505728658355
marriage	0.00489066206688
e-coupon	0.00456216230876
Clothes	0.00436034882573
Teacher	0.00410805606277
Boy-Girl	0.0040726700827
SENIORHIGH	0.00394393421812
CarShop	0.00381227353641
cat	0.00355202968283
mobilesales	0.00343843717282
GetMarry	0.00325602607346
give	0.00319217862495
BuyTogether	0.00274506390992
Gossiping	0.00265255271173
Rent_tao	0.00261675493139
HardwareSale	0.00260849472231
MobileComm	0.00253536722734
