board	similarity
CNU	0.0592429221901
BaseballNEWS	0.0324190934241
Modchip	0.0283681662646
WeiBird	0.0278001943611
KUAS	0.0275971191986
CCRomance	0.0271652311669
Isayama	0.0262567262591
BABYMETAL	0.0246988857773
Drum	0.024254251462
joke	0.0240503682458
Memory	0.0217685836219
Hate	0.020816338764
marvel	0.0203008146934
Touhou	0.0194558713546
talk	0.016352250321
BandPlayer	0.0161328375065
Contacts	0.0157331289882
biker	0.0150572564994
ai-photo	0.0135555508405
MenTalk	0.012741644741
SENIORHIGH	0.0126440383957
OverWatch	0.0119108726124
LGBT_SEX	0.0113455425747
Suckcomic	0.0112365514931
BlizzHeroes	0.0108429366782
NDS	0.0105811277815
Browsers	0.0104548523686
SEVENTEEN	0.0103987021321
bicycle	0.0103821490511
LicenseShop	0.00936585586836
WomenTalk	0.00923276768662
sex	0.00808783506009
Coffee	0.00761349976503
prozac	0.00749373522169
Gossiping	0.0073711556029
AC_In	0.00722171365788
PttLifeLaw	0.00705520984571
LAW	0.0066504025474
BB-Love	0.00636358345981
poem	0.00635980828273
facelift	0.00626402291783
gay	0.00614722401755
EAseries	0.00610948298001
Wanted	0.00603772580864
Keelung	0.00537117057533
Kaohsiung	0.00532729372438
Gamesale	0.00525461054768
PingTung	0.00501660531085
TaiwanDrama	0.00489126259545
Elephants	0.00476123162917
Food	0.00459222825152
Steam	0.00415920987557
PuzzleDragon	0.00407373421083
C_Chat	0.00399426287851
Salary	0.00398830201533
Boy-Girl	0.00361052479937
HatePolitics	0.00331257101663
car	0.00326126079778
Test	0.00323479683073
ask	0.00306084896336
give	0.00282994690347
movie	0.00253704415702
TaichungBun	0.00214437838406
Tainan	0.00209624208059
LoL	0.00192773608886
HelpBuy	0.00163097859967
AllTogether	0.0016308814089
forsale	0.0014343191814
