board	similarity
Oceanography	0.079807379991
SoftbankHawk	0.0664329217885
Agriculture	0.0577398675667
Ecophilia	0.0530713287589
sky	0.0510047515683
Olympics_ISG	0.0478560761766
MRT	0.0429212512143
TY_Research	0.0330995178056
Navy	0.0313785502476
Road	0.0302058542531
swim	0.0290977745873
juniorhigh	0.0266717649745
IA	0.0246217811689
Bus	0.0227345148225
Neihu	0.0195255551125
CrossStrait	0.0184349676894
Rhinos	0.0147566248049
job	0.0137810764661
car-pool	0.0124149021093
Badminton	0.011166936833
Hsinchu	0.0107680409849
Aviation	0.0102740791397
Militarylife	0.00964057322885
TaichungBun	0.00841830692267
HsinChuang	0.00839137778751
BabyMother	0.00832498043532
biker	0.00830088535084
forsale	0.00677627432627
NBA	0.00667223227125
HatePolitics	0.00634099370645
Gossiping	0.00582767867321
MobileComm	0.00462985221122
Japan_Travel	0.00416958046645
Tainan	0.00401267105626
Baseball	0.00397418662999
