board	similarity
Agriculture	0.246031982797
Ecophilia	0.226139144312
Olympics_ISG	0.203916735642
sky	0.149873902891
Road	0.14285254258
child_books	0.136483743345
MRT	0.129655202127
Bus	0.124203139528
swim	0.123986830562
Oceanography	0.105554156809
IA	0.104914436009
PublicBike	0.091349880345
SoftbankHawk	0.0900174007309
CrossStrait	0.078552165853
AirForce	0.0704690604904
gardener	0.0687082611281
Jinmen	0.0609100602903
Soccer	0.0568083469899
Suckcomic	0.0545880349484
Aviation	0.0502666932421
Tennis	0.0356830442083
juniorhigh	0.035276382495
TAXI	0.0330995178056
Militarylife	0.0328424289065
Railway	0.0320370998521
ChungLi	0.0231069697059
China_travel	0.0215261562223
Nantou	0.021515949321
Rhinos	0.0199954024712
Badminton	0.01476951883
Baseball	0.0143192890097
e-shopping	0.0142820257169
HsinChuang	0.0113704169054
biker	0.0112477985753
Gossiping	0.011022259308
Tainan	0.0106115562326
Taoyuan	0.00954089780961
NBA	0.00904095424318
HatePolitics	0.00859212204037
home-sale	0.00856899044913
C_Chat	0.00852607702805
MobileComm	0.00627350492198
Japan_Travel	0.00564983122257
forsale	0.00300964342764
