board	similarity
TaichungCont	0.0527346130688
Gradol	0.0376114324758
ChangHua	0.0372186346496
NCHUS	0.0368958318818
SRW	0.0338288219284
HKMCantonese	0.0338288219284
HT_Nishijima	0.0326110933211
PCSH_talk	0.0283083604944
PC26th318	0.0283083604944
FengYuan	0.0268333825439
Road	0.0267304585376
NCUT	0.0258936907763
Food	0.0258083508309
forsale	0.0246342372682
L_TaiwanPlaz	0.0230065139825
Artfilm	0.0223559845871
THU_Talk	0.0220401813144
Seal_Online	0.0203304683438
CTUST	0.0197765054488
Nantou	0.0188329430883
Bank_Service	0.0186252327154
egg-exchange	0.0177736570335
female-shoes	0.0169259402567
soho	0.0159585279943
Badminton	0.0153381063943
Pet_Get	0.0151175236463
mobilesales	0.0145814405215
give	0.0140081515426
Media-work	0.0134268182068
STREET_BALL	0.0130620685498
dog	0.0128477903263
MobileComm	0.0127470562797
finding	0.0126320637102
FCU_Talk	0.012483406132
photo	0.0124038793217
NewActivity	0.01233764326
MJ	0.01214952898
Malaysia	0.0121410585375
CYUT	0.0116875156639
Snacks	0.0113494472733
KOF	0.0112518511945
Indie-Film	0.0111415719524
job	0.011050000522
Stall	0.0108933019056
FCU_GoodLife	0.010854849168
LivingGoods	0.0108218394978
TWproducts	0.0102189978223
HRM	0.0101891515666
Ind-travel	0.0101436040732
Wanted	0.0100955166567
BoardGame	0.00988996032604
Supermission	0.00984084397684
Lefty	0.00983249552838
DistantLove	0.00979313600319
Aves	0.00958273531434
Little-Games	0.00940489339688
Songs	0.00922551496403
HatePolitics	0.00917446083119
Gossiping	0.00909498206719
e-coupon	0.00903180707596
memento	0.00903015406244
friends	0.00888777102525
PVC-GK	0.00881414876748
DirectSales	0.00872057197335
car-pool	0.00870182007739
Windows	0.00869258628033
ServiceInfo	0.00866720062211
rabbit	0.00863669760022
unemployed	0.0086338905646
Web_Design	0.00862443629918
pet	0.00855095557255
TAXI	0.00841830692267
Japan_Travel	0.00840312971784
MacShop	0.00837026316471
studyteacher	0.00824563042926
part-time	0.00823928028905
ai-photo	0.00816682901315
WomenTalk	0.00793313070688
Tainan	0.00792954545862
Hsinchu	0.00781731990023
Drama	0.00777174130983
DigitalMusic	0.00770786892298
prozac	0.00765149585538
Taoyuan	0.00750996502091
Rent_apart	0.00744757865525
equal_change	0.00720882191656
clmusic	0.00718837421305
BeautyMarket	0.00717546572742
Broken-heart	0.00715593550891
I-Lan	0.00715390551047
AnimalGoods	0.00710546270237
rent-exp	0.00705606406792
Android	0.00703903468966
Nangang	0.00703380419345
LineGames	0.00703372204022
travel	0.0070282986008
SummonersWar	0.00695731587251
HsinYi	0.00691161410397
Lifeismoney	0.00684553465815
Railway	0.00683325605067
Drama-Ticket	0.00679809986146
textbook	0.00679673125439
Zastrology	0.00671970628319
tattoo_ring	0.00654947105801
EuropeTravel	0.00653958230676
nmsmusic	0.00652811851864
SongShan	0.00643488660589
bicycle	0.00640413423094
Actuary	0.0062679047081
Kaohsiung	0.00619446629008
BabyMother	0.00615725490827
movie	0.0061563574672
Life	0.00609267228514
Rent_ya	0.00589293928407
E-appliance	0.00581616055562
creditcard	0.00568659636565
MRT	0.00563054112556
Taurus	0.00559615130978
drawing	0.00555073139953
StudyGroup	0.0054921525798
Sony-style	0.00548389590567
baking	0.00548315310131
Daan	0.0054602776823
Mechanical	0.00535597277062
TaiShan	0.00534158461615
China_travel	0.00533263461905
ask	0.00532581463699
Tech_Job	0.00528115734749
PublicServan	0.00526167600433
hypermall	0.00525014605797
love-vegetal	0.00519639653582
littlegift	0.00519079687864
MenTalk	0.00516313696398
ClashRoyale	0.00513981257293
ChungLi	0.00503146722301
SMSlife	0.00501763902974
Hotel	0.00498967264117
Baseball	0.00498203924003
HelpBuy	0.00480553548225
ID_Problem	0.00475738247882
Hong_Kong	0.00475631102518
Old-Games	0.00455240539502
Salary	0.00453127197945
C_Chat	0.00449919323853
DSLR	0.00446750056839
NIHONGO	0.00446328221553
Scorpio	0.00443713685069
Doctor-Info	0.00435230720749
biker	0.00430121928611
Stock	0.0042873632847
BB_Online	0.00424793510131
BigPeitou	0.00419723593736
Yunlin	0.0041644827263
home-sale	0.00408980358852
Japandrama	0.00401029090307
San-Ying	0.00397258455248
BuyTogether	0.00396830489953
cat	0.00391743515219
nb-shopping	0.00391373271746
stationery	0.00389328675655
watch	0.00384205657647
need_student	0.00379715781775
Taipei	0.00367667818187
model	0.00361823486508
BabyProducts	0.00361544333015
CVS	0.00361523206628
Loan	0.00354860373936
Clothes	0.00352061188248
HomeTeach	0.0035174287539
FITNESS	0.00350956341167
AllTogether	0.00350253116702
COC	0.00347783756233
Hate	0.00344528106588
Salesperson	0.00341623880097
Militarylife	0.0034076895201
poem	0.00339403527044
points	0.00323320232726
TuCheng	0.00322081768179
