board	similarity
NCUT	0.143348757153
CYUT	0.064702666727
Snacks	0.0628311033389
TaichungBun	0.0527346130688
Web_Design	0.0477453073535
FengYuan	0.0393867005581
Food	0.0381103839843
e-seller	0.0307804322019
photo-buy	0.0271647461051
NCHUS	0.0233808405721
Taoyuan	0.0231162245487
friends	0.0196518053878
Ind-travel	0.0189290162583
Badminton	0.0176776769907
points	0.0158550965748
forsale	0.0146890486654
Japan_Travel	0.013481873508
equal_change	0.0133400837049
travel	0.0131155334458
Hsinchu	0.00810374313641
HardwareSale	0.00683208665532
give	0.00676370392014
HelpBuy	0.00527621640053
part-time	0.00512638382486
AllTogether	0.00481830939699
Wanted	0.00315035681067
