board	similarity
SFGiants	0.125335186269
HsinYi	0.11375332939
Daan	0.106773821314
Zhongshan	0.100702505948
Zhongzheng	0.1004341051
Food	0.0873561050595
share	0.0837075260565
Refresh	0.0798954334812
Datong	0.0698515483453
speech	0.0622537452481
Education	0.0611875232654
learnyf	0.0605899147428
Aerobics	0.0547785109748
True-Escape	0.0505410400639
Tai-travel	0.0495128296464
Calendar	0.0481876472277
SongShan	0.0426896471941
study	0.0419644409254
WuGu-BaLi	0.0393870567109
N_E_Coastal	0.0393013408186
travel	0.03710438257
Marketing	0.0367989614999
NTUcourse	0.0306216202326
graduate	0.0291994727288
I-Lan	0.0260586134419
Aussiekiwi	0.0246157927153
Neihu	0.0228632171261
NewActivity	0.0224703748201
AdvEduUK	0.0224125278808
TaiShan	0.0217543591333
Sijhih	0.0208022023005
Nangang	0.0202415751715
BeautyBody	0.0187025588147
drawing	0.0180330094098
Tainan	0.0169762015468
medstudent	0.0165710683492
BigShiLin	0.016554264351
Kaohsiung	0.0163970636637
Hotel	0.0162102626147
Road_Running	0.0159859904571
Post	0.0155307041606
prozac	0.0148745836161
MLB	0.0147548699922
Miaoli	0.0140741312011
Salesperson	0.0139131158827
ShuangHe	0.013849925948
TuCheng	0.0131172357245
Militarylife	0.012293406272
forsale	0.0120540680392
ChungLi	0.010658326486
Coffee	0.0105824566759
Hsinchu	0.0096367224561
BigBanciao	0.00849348445773
Lifeismoney	0.00840366975603
part-time	0.00830090197993
BigSanchung	0.00811942161689
AllTogether	0.00742589154287
NTU	0.00701809665164
BeautyMarket	0.0067476201891
Taoyuan	0.00662719862231
MacShop	0.00620069954
GetMarry	0.00572961511493
Rent_tao	0.00504199791605
Wanted	0.00485527309891
Drama-Ticket	0.00447948117881
HelpBuy	0.00388149299152
TaichungBun	0.00367667818187
WomenTalk	0.00341631618598
