board	similarity
allergy	0.0461077486074
Snacks	0.0290574493785
Hualien	0.0271742143215
love-vegetal	0.02629137363
Food	0.0239479064398
Tai-travel	0.0226295804763
Miaoli	0.0175378182691
watch	0.0165865701426
Nantou	0.0165312321239
TuCheng	0.0129213899249
Yunlin	0.0119723913082
aqua-shop	0.01134149026
BikerShop	0.0101709623456
ChangHua	0.00865725009097
Tainan	0.00822478284084
mobilesales	0.00721026458627
give	0.00467211454573
Kaohsiung	0.00435987451614
WomenTalk	0.00396530635625
forsale	0.00236799619894
