board	similarity
Trace	0.161633794963
PSY	0.078392028219
bridge	0.0715601038507
Notebook	0.0702634590942
share	0.0523316630357
money	0.0516030215508
SYSOP	0.0487996849222
Publish	0.0414630145022
VideoCard	0.0306979536231
Office	0.0289405005135
Electronics	0.027213109245
BigPeitou	0.0240832993086
Physics	0.0229706867435
Design	0.0226694856489
SuperBike	0.0219115268011
LivingGoods	0.0212586920981
FishShrimp	0.0182570418497
Doctor-Info	0.017646151068
CrossStrait	0.0168604701187
MabinogiHero	0.0163286010739
Google	0.0163033573745
IA	0.0153163930296
EAseries	0.0149235176141
Contacts	0.0147763545981
Browsers	0.0146661524772
Soft_Job	0.0137301164997
MenTalk	0.0128131003558
Insurance	0.0120454636764
E-appliance	0.011649251573
Live	0.0115698092704
Stock	0.0113817149457
PublicIssue	0.0113587105867
MobileComm	0.00980443548285
NBA	0.00932283097246
Headphone	0.00901567762164
TaichungBun	0.00869258628033
TaiwanDrama	0.00686150320462
ask	0.00662284632071
japanavgirls	0.00625648273594
WomenTalk	0.00602900365408
BabyMother	0.00567190130311
part-time	0.00531329275513
Gamesale	0.00440582176956
Tech_Job	0.00427923314567
home-sale	0.0042174392798
sex	0.00419906323477
HardwareSale	0.00399140371875
HatePolitics	0.00384577081954
Gossiping	0.00290059451216
LoL	0.00204391930111
