board	similarity
NTUDFLLSA	0.377100705724
NTUCAREER	0.377100705724
NTUActivity	0.377100705724
TMU_DTbasket	0.341058394738
TMU935	0.341058394738
NTNU_BEAUTY	0.341058394738
Journalism99	0.341058394738
HealthNutri	0.341058394738
ZCLUB	0.32137564898
wonderland	0.26759497576
iELC	0.26759497576
howtztravel	0.26759497576
e-Business	0.26759497576
Sassy-babe	0.26759497576
Progressive	0.26759497576
NTUrefined	0.26759497576
NTUTradOpera	0.26759497576
NTUSNews	0.26759497576
NTUPR	0.26759497576
NTUNTE	0.26759497576
NTUMUN	0.26759497576
NTUDesign	0.26759497576
NTUDT	0.26759497576
NTUChallenge	0.26759497576
NTU-IAS	0.26759497576
MED_serve	0.26759497576
HELLOWORLD	0.26759497576
GOFORFIENDS	0.26759497576
Film-Club	0.26759497576
CYPA	0.26759497576
CSCommunity	0.26759497576
CLUB_KABA	0.26759497576
CCYS	0.26759497576
AquaPet	0.26759497576
AD	0.26759497576
Campus-plan	0.247415210609
EarthScience	0.237896476857
NTUT_Talk	0.231775911238
NTUEtalk	0.231775911238
OCU	0.208756280634
TAKMING	0.19030788153
Chihlee	0.19030788153
sky	0.178715537792
NTU-Taipei	0.161582093096
ASES-Taiwan	0.161582093096
Calendar	0.153018519795
Alternative	0.140499540445
A-UPUP	0.140499540445
USC	0.138949869935
CLOCA	0.121651640572
NTUST_Talk	0.117300703576
NewActivity	0.112386060324
TravelGuy	0.086276291953
uni-talk	0.0824821929051
Polytechnic	0.0624893016088
TOEIC	0.0538024264788
IELTS	0.0478849515089
talk	0.0438767294887
NTU	0.030154212581
BigBanciao	0.0255546672758
HsinChuang	0.0250390497526
ShuangHe	0.0202748228985
Test	0.0152399487071
Hate	0.0109863516581
Taoyuan	0.0105334287846
Gossiping	0.00390112220833
