board	similarity
SecretGirls	0.565682726431
SISTAR	0.565682726431
Rainbow	0.565682726431
BraveSound	0.565682726431
KR_1N2D	0.286232014752
KARA	0.286232014752
JoonYoung	0.286232014752
KR_Entertain	0.238992345602
We2NE1	0.230348065351
AfterSchool	0.225287802533
BlockB	0.204338993337
NineMuses	0.201121850397
GirlsDay	0.189228386943
KoreanPop	0.143301222515
EXID	0.124756588681
JessicaJung	0.107928927388
AOA	0.104445120379
SuperJunior	0.099890173225
APINK	0.0984202858442
MAMAMOO	0.0972986516126
JYPnation	0.0844490418007
YGFamily	0.084245756238
TWICE	0.049599159223
