board	similarity
Aquarium	0.0898532033414
EDR	0.0269329453951
AC_Sale	0.0152338573555
yoga	0.0143644495946
Taitung	0.01134149026
CareerPlan	0.011326051879
CarShop	0.0100917606241
Singapore	0.0100043648296
Audiophile	0.00918801144143
Doctor-Info	0.00912475157981
HsinTien	0.00879429960598
forsale	0.00846555538492
toberich	0.00782070186359
Plant	0.0075424295657
Gamesale	0.0068346965291
biker	0.00599752581944
marvel	0.0059707476334
creditcard	0.00572431154219
BigSanchung	0.0055325780389
Taoyuan	0.00534583592202
BikerShop	0.00473248908425
cat	0.00435519418368
Hsinchu	0.00379361453148
nb-shopping	0.00361451600853
mobilesales	0.00357844692854
Kaohsiung	0.0035702014227
Tainan	0.00217957711776
LoL	0.00215685729776
BabyProducts	0.00205600067945
Gossiping	0.00197236214598
