board	similarity
JPliterature	0.151270665928
GoranDragic	0.103675189075
Native	0.0899989477639
Fantasy	0.0687622683547
TW-language	0.047620613222
Publish	0.04370159122
e-coupon	0.042458334944
CFP	0.0408483488615
Francais	0.0393931270504
Warfare	0.0359222865741
Jay	0.0341678731662
Ptt-Charity	0.0318096913537
Web_Design	0.0298147756174
Comic	0.0290908534993
einvoice	0.0290046909275
IC-Card	0.0287969497318
Linux	0.0271106915865
historia	0.0261501741506
Military	0.0239185015935
Option	0.0238613499026
Language	0.0224422054471
HelpBuy	0.0187478479393
MenTalk	0.0186215450777
Storage_Zone	0.0175093290318
TaiwanDrama	0.0166611979235
poem	0.0163737118778
Eng-Class	0.0151860566023
Hunter	0.0143992062956
CFantasy	0.0137583969275
Test	0.0134745454568
PttEarnMoney	0.013406001922
CVS	0.0133623249166
Accounting	0.012738282205
Lifeismoney	0.0124790571365
toberich	0.0112639029588
tax	0.00961266889064
barterbooks	0.0092643772028
Stock	0.00841095422243
Gossiping	0.00734752834352
movie	0.00578585013719
Boy-Girl	0.00551268778828
forsale	0.00529235484856
mobilesales	0.00360322255718
