board	similarity
Bilk	0.0523570073566
BuyTogether	0.0276403181767
MakeUp	0.0268427025752
child_books	0.0261963476119
Bunco	0.0261963476119
Violation	0.024777372012
BeautySalon	0.0238661704271
Clothes	0.0230461740501
Therapist	0.0224586144719
TWproducts	0.0195506971542
Natal	0.0192660641885
Chat82gether	0.0169159771461
Drink	0.0162198552407
Sewing	0.0157638142637
Zastrology	0.0147183925466
Artistic-Pho	0.0144040449592
TY_Research	0.0142820257169
swim	0.0141007077461
gardener	0.0131876914291
WomenTalk	0.0130971626871
bag	0.0128328051665
teeth_salon	0.0128207220195
CompBook	0.0121364256696
HANGUKMAL	0.0111872830607
Tai-travel	0.0110666369987
forsale	0.0105356089828
Tainan	0.0104569120193
Starbucks	0.00991106881761
HsinYi	0.00976934367938
isLandTravel	0.00954065313012
GetMarry	0.0094833748634
Actuary	0.00885948120395
HelpBuy	0.0087516673402
Plant	0.00865991254341
baking	0.00848629869141
BeautyMarket	0.00842336613708
Lifeismoney	0.00817588848689
BabyMother	0.00799970545549
PttLifeLaw	0.00775138367789
Kaohsiung	0.00760581034094
CareerPlan	0.00740629514182
HandMade	0.00730829231204
Q_ary	0.00693700051576
graduate	0.00648550789482
e-coupon	0.00617573824212
Japan_Travel	0.00590994981553
Tech_Job	0.00587365287777
cookclub	0.00580543069423
TaiwanDrama	0.00534519276282
CVS	0.00530151728337
EuropeTravel	0.00529008042906
TAROT	0.00522745857729
hairdo	0.00516037974836
Key_Mou_Pad	0.00502874186667
joke	0.00476618317152
HsinChuang	0.00447576646919
ClashRoyale	0.00444688945234
marvel	0.00440773167931
travel	0.00394563543446
Tour-Agency	0.00390736459408
ChangHua	0.00377035345943
job	0.00358414917137
BabyProducts	0.00357671839215
MenTalk	0.0034293586442
Test	0.00301627714087
iPhone	0.00295908606651
Salary	0.00279578159499
MobileComm	0.00246945588782
MacShop	0.00235641862879
Hate	0.00175903804563
HardwareSale	0.00174437276512
Gossiping	0.0013525612571
Wanted	0.000880739980784
