board	similarity
Master_D	0.0921065730677
Q_ary	0.0573547942076
Cga	0.0539666227998
Education	0.050242004851
Grad-ProbAsk	0.0456335936337
GraduateCram	0.0359262458971
study	0.0344576399244
PSY	0.033974085339
PhD	0.0334779406808
share	0.0304994637885
EDR	0.0303557146396
Taipei	0.0291994727288
Spurs	0.0254891228181
NTUcourse	0.0251438775451
Music-Sell	0.0248236321714
MiamiHeat	0.0190511681906
KoreanPop	0.0187871364109
Instant_Mess	0.0187151698385
StudyGroup	0.0183663502551
Life	0.0180477938386
facelift	0.0148701367905
Tech_Job	0.0147095170913
MLB	0.0146392747984
Facebook	0.0134127657556
KoreaDrama	0.013001229158
biker	0.0128647894472
Gossiping	0.0125521175487
Coffee	0.0124089461214
Keelung	0.0104959940362
Kaohsiung	0.00921372985313
Teacher	0.00919818646193
WomenTalk	0.00859341839997
sex	0.00797907980571
PC_Shopping	0.00785893834144
Stock	0.00775539236742
Militarylife	0.00727243711681
NBA	0.00681135730009
Food	0.00662994706089
e-shopping	0.00648550789482
Hsinchu	0.0053600395664
Baseball	0.00405705377355
part-time	0.00354525568889
Tainan	0.0029512073163
LoL	0.00247858505448
