board	similarity
Oceanography	0.244824439867
Agriculture	0.177128114425
sky	0.174145269106
Ecophilia	0.162806476517
Olympics_ISG	0.146807689282
Road	0.0926622493941
swim	0.0892630025632
IA	0.0755320345547
MRT	0.0650000544418
Navy	0.0619587645234
PublicBike	0.0617697723781
Cga	0.0611412055275
EarthScience	0.0580259431157
CrossStrait	0.0565527979873
ForeignEX	0.0562637790371
Gov_owned	0.0540065354095
CS_TEACHER	0.0514326343971
Bus	0.0448906160204
Jeremy_Lin	0.044577291754
Soccer	0.0384131719657
AirForce	0.0359662574129
TY_Research	0.035276382495
Badminton	0.0342567198107
V_ScHooL	0.033318312735
NailSalon	0.0268473110546
TAXI	0.0266717649745
Jinmen	0.0257421869674
Tennis	0.0241284773464
Railway	0.0241254800782
basketballTW	0.0233709864198
PH-sea	0.0217974789345
Aviation	0.019510645637
Militarylife	0.0190358701037
Nantou	0.0177828579189
Key_Mou_Pad	0.0163592519385
Post	0.0162762365063
PttEarnMoney	0.0157951767008
BeautySalon	0.0154294585699
Korea_Travel	0.00973325153709
sex	0.0097184852191
Boy-Girl	0.00965390002436
joke	0.00880771543876
ask	0.0082244386585
Test	0.00793796792249
Taoyuan	0.00788551913914
Tainan	0.00762012847791
Gossiping	0.00611152238914
Hate	0.0057224147353
WomenTalk	0.00519526871412
LoL	0.00473053117
Baseball	0.00331148791117
