board	similarity
Refresh	0.386047144543
Calendar	0.267500626653
NewActivity	0.230945066394
AsiaMovies	0.201365117021
speech	0.196018775525
Cram_Talk	0.163651631512
scholarship	0.157560097308
TIT	0.157560097308
NUU_Talk	0.157560097308
NUU_ID	0.157560097308
NUU-ARCHI	0.157560097308
NTUST-ARCH	0.157560097308
NTCUST	0.157560097308
NTCU	0.157560097308
NFU	0.157560097308
Lan_Yang	0.157560097308
HungKuang	0.157560097308
TravelGuy	0.1315956039
ZCLUB	0.113883738893
Ourmovies	0.0942333736299
NCUT	0.0904064295832
Language	0.0822061119823
LTU	0.0743374571666
unemployed	0.0708720163002
Design	0.0695694345404
Volunteer	0.0686962125924
NHCUE-Talk	0.0671833412736
OCU	0.0658601260596
Marketing	0.0642730490034
CFP	0.0639093029631
ASIA-uni	0.0631973391069
Taipei	0.0605899147428
CTUST	0.0603113104182
TOEIC	0.0586397509723
CareerPlan	0.0558083428635
KSU	0.0557589995911
CHU	0.0557589995911
share	0.0520107712085
NCNU	0.0508512348415
YZU_Talk	0.0502671460428
NDHU	0.0491920598701
GMAT	0.0444767339614
NTUST_Talk	0.0431247514411
HRM	0.0410579470382
CYUT	0.0408063327474
STUST	0.0407232046648
GRE	0.0394039938329
FongShan	0.0374648744846
NYUST	0.0372900368994
Aussiekiwi	0.0355817314017
TOEFL_iBT	0.0327105611344
Oversea_Job	0.0317047041709
FCU_Talk	0.0307975600474
drawing	0.0298426653834
PU_Family	0.0254398633404
IELTS	0.0243925931048
THU_Talk	0.0240462749291
Kaohsiung	0.0202231354686
toberich	0.0150315384003
NCHUS	0.0147457038259
Aviation	0.014267514343
V_ScHooL	0.00987815202078
Hsinchu	0.00861737761829
joke	0.00837194890082
part-time	0.00624103655839
Test	0.00480802273323
