board	similarity
IGuanTao	0.160159221296
Snacks	0.100750528323
Eason	0.0830514473807
kodomo	0.0809663945314
Ptt-Charity	0.0467581589478
camping	0.0436232760567
Physics	0.0431467910106
Buddhism	0.0411326126412
cookclub	0.0327724846684
FixMyHouse	0.0302478540252
Nantou	0.027946668684
NewActivity	0.0264415318627
Taitung	0.02629137363
drawing	0.0242940909861
Food	0.0238215737303
Eng-Class	0.0235595451699
Taoyuan	0.0233566472514
baking	0.0212577281191
Ind-travel	0.0167070447463
Plant	0.0159680682788
HsinChuang	0.014054782767
Teacher	0.0133680050539
Tainan	0.0128587898623
ChungLi	0.0118834180261
travel	0.0115759742165
BigBanciao	0.0114424320154
cat	0.0113976322996
ShuangHe	0.0103934882288
BuyTogether	0.00804430411215
forsale	0.00791995217379
give	0.00733998672556
Hsinchu	0.0066468247577
TaichungBun	0.00519639653582
