board	similarity
GuineaPig	0.0673207040383
bicycle-tour	0.0620976256781
Ingress	0.0540913323843
Reptile	0.0297257657137
tattoo_ring	0.0239511534996
Old-Games	0.0231077405472
ONE_PIECE	0.0164026670277
BB-Love	0.0146332011631
Hualien	0.0115094447799
facelift	0.0108870147741
dog	0.0102871436695
Test	0.0101294258146
toberich	0.00913310267198
TaichungBun	0.00863669760022
cat	0.00759672181171
GetMarry	0.00635968310009
forsale	0.00559845685891
ask	0.0055512579028
Chat82gether	0.00538023921391
C_Chat	0.00455602817899
joke	0.00430404946962
Tainan	0.004091042289
mobilesales	0.00337634255302
Gossiping	0.00137151489451
