board	similarity
Network	0.0563168867252
Anti-Fake	0.0554129103982
Mix_Match	0.0424295230125
Mavericks	0.0366894891113
Depstore	0.0350108538685
fastfood	0.0239432569233
Suit_Style	0.0229191532795
AskBoard	0.0229191532795
TamShui	0.0183212573149
Actuary	0.0168181652051
GTA	0.0125334897991
WOW	0.0117006405108
SportsShop	0.00802292160538
bicycle	0.00793543984944
SportLottery	0.00792162885291
E-appliance	0.00770945721929
give	0.00733058975877
MakeUp	0.00687231625934
Salary	0.00644733979953
Food	0.00582489440289
mobilesales	0.00527402628602
joke	0.00471692929657
Rent_tao	0.00470115812953
movie	0.00410129065048
Kaohsiung	0.00404746847587
forsale	0.00371540734176
Gossiping	0.00371002095548
Baseball	0.00367494370329
LoL	0.00311630602721
TaichungBun	0.00307064759344
HardwareSale	0.00302417964139
Wanted	0.00167192978444
